회사명,종목코드,회계년도,종가,ROE,시가총액,PER,PBR,PCR,PSR,PRR,RDS,RDO,RDN,ROA,판관비,EY,수정종가,수익률
DB하이텍,000990,2018,10850.0,1.0512021803219234,481724679800.0,-0.4200164954427811,-0.10279306078428864,-0.330933608974753,-0.3321234645961715,-0.18752781698781376,3.1290843623836904,0.45204259786934925,0.2672484559584622,0.9157912315678453,-0.3591539839118791,1.5934153835287324,14150.0,-3.0466830466830466
DB하이텍,000990,2019,27600.0,1.0848919716382708,1225401028800.0,-0.4208894936784733,-0.059488395695579455,-0.3082013866467936,-0.3259659963788833,-0.18529176344334955,2.655556677297962,0.19178062394790613,0.20517862545161245,1.2699001169580697,-0.5989650959709567,0.7857226121863912,13000.0,-0.8127208480565373
DB하이텍,000990,2020,51000.0,1.7671102457943104,2264327988000.0,-0.39947193696282485,0.29694230926533477,-0.31641024470966783,-0.25481303031244235,-0.18245557362456583,2.384364209111222,0.09474153584095472,0.06817589023774463,2.3497071544207335,-0.6772197251806238,0.3836882997696321,20900.0,6.0769230769230775
DB하이텍,000990,2021,72700.0,3.004006869837359,3227777347600.0,-0.3994137370804454,0.7666313690736425,-0.28154013823745855,-0.15218856002430636,-0.18047305379925926,1.9460544441940377,-0.03919994621486754,-0.04837805551110896,3.8831919183981682,-0.6984066303649787,0.6052509692207408,57700.0,17.607655502392344
DB하이텍,000990,2022,37150.0,3.8919735123896637,1649407544200.0,-0.4481852385144491,0.13038590507799167,-0.332056187855146,-0.25412886717718813,-0.18539221753198068,1.6171746334799615,-0.13772883682375395,-0.0996353520673343,4.275732918291638,-0.5837486693801697,4.32155983898567,73400.0,2.7209705372616977
HJ중공업,097230,2020,7320.0,2.3253982161795,609567736920.0,-0.4162917029704944,0.19700846675292896,-0.35163115708199993,-0.4258538141260024,-0.13769817851938312,-0.4019807936230905,-0.2339885297752727,-0.18589955547702758,-0.18636356833138312,-0.5247282928597544,-0.5152204116668541,4390.0,-6.700984444277448
MH에탄올,023150,2018,5890.0,-1.1205861527497718,43459518140.0,-0.42903747721160035,-0.57914437676009,-0.29487076244212607,-0.3492275429775275,-0.18909213021353266,-0.45648394268484205,-0.29713958269096685,-0.20610493850421396,-1.70691493293045,0.0446969694108945,0.23754550932005125,6580.0,-1.574903969270166
MH에탄올,023150,2020,8410.0,0.37379673349679077,62053403660.0,0.22576939943992183,-0.12944208545426356,-0.25045873548657577,-0.27875874004634077,-0.18909213021353266,-0.45648394268484205,-0.29713958269096685,-0.20610493850421396,-0.843665085266938,-0.17114834363652398,-0.058830200597732106,8050.0,2.1601208459214494
MH에탄올,023150,2021,10200.0,0.13676498744963062,75260965200.0,-0.26834760196185786,0.2036707229204227,0.3073226457087239,-0.174081780352442,-0.18909213021353266,-0.45648394268484205,-0.29713958269096685,-0.20610493850421396,-0.5834590531385149,-0.23921454962507263,-0.5769298092645961,8540.0,0.608695652173914
MH에탄올,023150,2022,7610.0,-0.0810154492739022,56150582860.0,-0.34680104340939605,-0.15609111012423849,-0.38362465517320204,-0.2678121298822729,-0.18909213021353266,-0.45648394268484205,-0.29713958269096685,-0.20610493850421396,-0.4058942593763034,-0.02542027352407134,-0.827798283446722,10000.0,1.7096018735362994
SH에너지화학,002360,2018,1100.0,-0.7427792072735877,122247103000.0,0.12194080927493063,-0.02284598677436401,0.10357457891738422,-0.359489990006341,-0.18909213021353266,-0.45648394268484205,-0.29713958269096685,-0.20610493850421396,-0.6470477242229408,-0.6166986936181935,-0.5560746994336174,1430.0,-0.9206349206349207
SH에너지화학,002360,2021,973.0,-0.9256666458480463,108133119290.0,1.4502949247041674,-0.06948177994681998,-0.38362465517320204,-0.3485433798422732,-0.18909213021353266,-0.45648394268484205,-0.29713958269096685,-0.20610493850421396,-0.9244239793728273,-0.6057251090970568,-0.7512180051251229,936.0,3.295454545454546
SH에너지화학,002360,2022,821.0,-0.7692497575935751,91240792330.0,0.8621851132595284,0.04710770298432009,-0.38362465517320204,-0.3492275429775275,-0.18909213021353266,-0.45648394268484205,-0.29713958269096685,-0.20610493850421396,-0.6916893734111479,-0.560659027308251,-0.7208252369098017,1045.0,1.1645299145299148
SIMPAC,009160,2018,2440.0,1.4554796761180948,159648019040.0,-0.4843273654721057,-0.8356412392085985,-0.34300133193897836,-0.4183280196382057,-0.18909213021353266,-0.45648394268484205,-0.29713958269096685,-0.20610493850421396,1.400278730839308,-0.48334607495704496,-0.1740561148679502,4460.0,-1.1155378486055778
SIMPAC,009160,2019,2945.0,-0.7475920346044944,192689924620.0,-0.29331535150265453,-0.6757470911887491,-0.3189360471905522,-0.3998556149863412,-0.18909213021353266,-0.45648394268484205,-0.29713958269096685,-0.20610493850421396,-0.7107078762884229,-0.43461351042034024,-0.060859979642400044,2540.0,-4.304932735426009
SIMPAC,009160,2020,2470.0,-0.1014699654302561,161610904520.0,-0.4364870621561737,-0.7723498056174081,4.546531303973026,-0.39575063617481576,-0.18909213021353266,-0.45648394268484205,-0.29713958269096685,-0.20610493850421396,0.06911184324479311,-0.4139360178411835,-0.1842959177962605,2180.0,-1.417322834645669
SIMPAC,009160,2021,6410.0,1.1546779679364196,419403197560.0,-0.43212207097771277,-0.4425681253264686,-0.2603514618700396,-0.359489990006341,-0.18909213021353266,-0.45648394268484205,-0.29713958269096685,-0.20610493850421396,1.3776881353470078,-0.5304805556318556,1.2306785594982532,3235.0,4.839449541284404
