회사명,종목코드,회계년도,종가,ROE,상장주식수,시가총액,수익률,PER,PBR,PCR,PSR,ROA,NEW,EY,수정종가
한샘,009240,2017,180000.0,18.29,23533928.0,4236107040000.0,-0.17543859649122862,35.395,9.19,45.265,2.29,9.832627533851863,0.10806476079981207,0.04106776180698152,224000.0
한샘,009240,2018,67400.0,16.63,23533928.0,1586186747200.0,-3.0803571428571432,39.655,5.1049999999999995,28.78,1.465,9.568371784698348,0.28734176401647343,0.06493506493506493,155000.0
한샘,009240,2019,62200.0,7.32,23533928.0,1463810321600.0,-3.516129032258064,47.445,3.545,22.235,1.2249999999999999,3.5517656033574596,0.2853853739351854,0.07757951900698215,100500.0
한샘,009240,2020,104500.0,10.83,23533928.0,2459295476000.0,-4.925373134328358,39.98,3.6149999999999998,10.335,1.16,5.436361232759665,0.18265493893829293,0.059737156511350066,51000.0
한샘,009240,2021,92600.0,9.0,23533928.0,2179241732800.0,12.84313725490196,53.285000000000004,4.77,145.91,1.525,4.590850868181276,0.23715339387153278,0.05491488193300384,116500.0
한샘,009240,2022,44600.0,-13.37,23533928.0,1049613188800.0,-2.987124463519313,0.0,3.67,0.0,1.005,-6.485583330498644,0.4391199500141037,0.0327653997378768,81700.0
한섬,020000,2014,32550.0,5.01,24630000.0,801706500000.0,-1.1241610738255037,15.075,0.98,49.05,1.44,3.470125922078714,0.31211105685185286,0.0791139240506329,26450.0
한섬,020000,2015,40600.0,9.31,24630000.0,999978000000.0,2.3062381852551983,11.184999999999999,1.065,17.935000000000002,1.415,7.612966115544874,0.2919699483388634,0.08216926869350863,32550.0
한섬,020000,2016,34850.0,6.6,24630000.0,858355500000.0,2.0122887864823347,17.25,1.13,17.95,1.38,5.440712039927251,0.38487751054196073,0.1017293997965412,39100.0
한섬,020000,2017,31450.0,5.96,24630000.0,774613500000.0,-2.5191815856777486,14.329999999999998,0.86,17.515,1.02,4.300698393757077,0.8121343792743091,0.09960159362549802,29250.0
한섬,020000,2018,36250.0,7.75,24630000.0,892837500000.0,1.3846153846153841,12.59,0.9,5.5649999999999995,1.145,6.096013143198986,0.7334268083497837,0.1019367991845056,33300.0
한섬,020000,2019,31550.0,8.36,24630000.0,777076500000.0,3.2432432432432434,12.41,0.99,7.22,0.9450000000000001,6.4413796228050035,0.8298339095314297,0.1733102253032929,44100.0
한섬,020000,2020,30250.0,7.85,24630000.0,745057500000.0,-5.464852607709751,7.695,0.665,4.38,0.56,5.901020421167484,0.8102149082453367,0.20920502092050208,20000.0
한섬,020000,2021,35600.0,9.26,24630000.0,876828000000.0,9.975000000000001,8.55,0.885,5.525,0.72,7.162333098889663,0.7766442780111948,0.2557544757033248,39950.0
한섬,020000,2022,27050.0,9.56,24630000.0,666241500000.0,-1.1514392991239053,6.25,0.63,10.775,0.51,7.164370843127147,1.1657303350211596,0.3508771929824561,35350.0
한솔케미칼,014680,2014,38950.0,10.42,11295195.0,439947845250.0,3.289760348583879,16.485,2.0,9.620000000000001,1.32,4.516135662551598,0.08908483681225621,0.0796812749003984,30500.0
한솔케미칼,014680,2015,62100.0,15.01,11295195.0,701431609500.0,8.098360655737704,24.46,3.76,19.6,2.755,6.582067527310412,0.06114894227617496,0.07204610951008646,55200.0
한솔케미칼,014680,2016,83300.0,21.29,11295195.0,940889743500.0,2.1376811594202905,15.780000000000001,3.2399999999999998,11.53,2.555,8.420923758299868,0.06016655021598713,0.07616146230007616,67000.0
한솔케미칼,014680,2017,72500.0,17.99,11295195.0,818901637500.0,1.3880597014925367,19.025,3.085,13.625,2.545,8.028463801062246,0.07709738765786751,0.08673026886383348,76300.0
한솔케미칼,014680,2018,77500.0,20.12,11295195.0,875377612500.0,-1.035386631716907,12.95,2.55,9.555,2.095,8.557958465484447,0.07351429380997564,0.10582010582010583,68400.0
한솔케미칼,014680,2019,106000.0,20.88,11295195.0,1197290670000.0,2.0906432748538006,14.23,2.665,14.1,2.58,9.692480506088671,0.05373537906212866,0.08347245409015025,82700.0
한솔케미칼,014680,2020,196500.0,24.5,11295195.0,2219505817500.0,-0.8706166868198306,14.15,3.15,11.145,3.255,13.018479848601997,0.027908102565719,0.06385696040868455,75500.0
한솔케미칼,014680,2021,305500.0,23.88,11335195.0,3462902072500.0,24.370860927152318,24.92,5.58,27.36,5.6899999999999995,13.25377765291009,0.020297178068699198,0.05324813631522896,259500.0
한솔케미칼,014680,2022,185500.0,21.36,11335195.0,2102678672500.0,-0.8863198458574184,22.14,4.29,20.685000000000002,4.195,13.322934841555792,0.0379002231973226,0.07776049766718507,236500.0
한진칼,180640,2015,19500.0,-14.94,52773256.0,1029078492000.0,5.5009155113784995,155.91500000000002,1.1400000000000001,54.965,36.04,-8.368026080851676,0.08251846837743453,0.021838829438742085,35556.0
한진칼,180640,2016,15350.0,-36.81,59170458.0,908266530300.0,-4.140229497131286,0.0,0.835,26.07,17.415,-20.511014698900635,0.10355243187144006,0.034376074252320386,20835.0
