,회사명,종목코드,회계년도,종가,ROE,상장주식수,시가총액,수익률,PER,PBR,PCR,PSR,ROA,NEW,EY,수정종가
0,DB하이텍,990,2014,4615.0,-3.859322118745273,44367832.0,204757544680.0,0.3105590062111796,-0.5495444326505796,0.5787524698037886,-0.42968913447498,-0.3822074529939601,-2.310074952238043,0.2839500091698289,0.8849552269824891,6640.0
1,DB하이텍,990,2015,14300.0,1.9427449333084208,44367832.0,634459997600.0,-1.1445783132530118,-0.49205880099296845,-0.08302776503093344,-0.4726752818908109,-0.3565527703774993,1.868326216308786,-0.4319550342150541,1.4211795551806894,5880.0
2,DB하이텍,990,2016,15900.0,1.9037405944391286,44367832.0,705448528800.0,20.782312925170068,-0.4338729789375789,-0.08525598130983818,-0.4830579405217227,-0.34372542906926895,1.0770183782116889,-0.42778205063239205,2.0696770992060496,18100.0
3,DB하이텍,990,2017,12000.0,1.737816856164479,44367832.0,532413984000.0,1.2430939226519344,-0.40397484895243885,-0.18998214641836325,-0.45782905039053523,-0.3271740209296168,1.5075553599664846,-0.3243018490639373,2.3674149653309002,20350.0
4,DB하이텍,990,2018,10850.0,0.8795906237093923,44398588.0,481724679800.0,-3.0466830466830466,-0.44857697729092644,-0.43508593709788984,-0.4673384012861367,-0.3366910806099167,0.9131410564648638,-0.3111924101926029,2.3488961489928406,14150.0
5,DB하이텍,990,2019,27600.0,0.9024766565748611,44398588.0,1225401028800.0,-0.8127208480565373,-0.44962726288759414,-0.40611912547212764,-0.4358993228149646,-0.33296701377849497,1.2096669708729235,-0.6177923685337292,1.3042241523402944,13000.0
6,DB하이텍,990,2020,51000.0,1.3659188221006078,44398588.0,2264327988000.0,6.0769230769230775,-0.423860256249347,-0.16769998362931537,-0.44725232337399895,-0.2899333526153995,2.113882545172979,-0.717841385652559,0.7842318944211828,20900.0
7,DB하이텍,990,2021,72700.0,1.9427449333084208,44398588.0,3227777347600.0,17.607655502392344,-0.42379023720956915,0.14647851169625978,-0.399026329546306,-0.227865572091704,2.3820008304011218,-0.744928972174823,1.0708016453110953,57700.0
8,DB하이텍,990,2022,37150.0,1.9427449333084208,44398588.0,1649407544200.0,2.7209705372616977,-0.48246619254340367,-0.27911079757455476,-0.4688909483711328,-0.2895195674119082,2.3820008304011218,-0.5983380750325723,5.877485504450609,73400.0
9,강원랜드,35250,2014,30400.0,0.6049582293237645,213940500.0,6503791200000.0,0.1480263157894734,-0.28312198629587754,0.17098889076421253,-0.2802564775441003,-0.03752437848570448,1.4191815650728072,-0.7500756754829657,0.11229433442379803,30850.0
10,강원랜드,35250,2015,38400.0,0.7463612180996979,213940500.0,8215315200000.0,1.2641815235008114,-0.28613280500632493,0.24897646052588002,-0.2700678872988131,-0.010628340258769832,1.6855025226030989,-0.7659198304288044,-0.02033373208766156,34750.0
11,강원랜드,35250,2016,35750.0,0.6695295363370521,213940500.0,7648372875000.0,1.827338129496403,-0.2863428621256584,0.2088685675055939,-0.26395473315164075,-0.004007777002908975,1.5759739082920536,-0.7548303609114563,0.09679946773314613,41100.0
12,강원랜드,35250,2017,34800.0,0.5395695639938533,213940500.0,7445129400000.0,-0.9002433090024331,-0.3029373745530078,-0.0028119789903609995,-0.21961010703643813,-0.024283251973982765,1.380076604730601,-0.7544612850219642,-0.024749682997478376,37400.0
13,강원랜드,35250,2018,32000.0,0.1660368132967347,213940500.0,6846096000000.0,-2.379679144385026,-0.24951284720251168,-0.2078078766496015,-0.20243505490866817,-0.05448957182884799,0.687683268908998,-0.7489767550613563,-0.1448713348732051,28500.0
14,강원랜드,35250,2019,29600.0,0.22897340367677432,213940500.0,6332638800000.0,1.1052631578947358,-0.27191893993142224,-0.203351444091792,-0.22455885086986335,-0.058627423863761005,0.791815261618454,-0.7387868266981497,0.07429401597729367,31650.0
15,강원랜드,35250,2020,23500.0,-1.167074601116833,213940500.0,5027601750000.0,-4.170616113744075,-0.5495444326505796,-0.36823944873074627,-0.5402110800881436,0.42674261983153766,-2.260912530495705,-0.6670680548463367,-1.0863442817173687,18450.0
16,강원랜드,35250,2021,24050.0,-0.5466996387992991,213940500.0,5145269025000.0,3.766937669376693,-0.5495444326505796,-0.28802366269017393,-0.045142628359995496,0.1552995263412428,-0.7868265615987461,-0.7957140788779563,-1.019517084436942,25400.0
17,강원랜드,35250,2022,23200.0,-0.23610347848222013,213940500.0,4963419600000.0,1.023622047244095,0.1129057026876166,-0.30807760920031696,-0.2867577684625217,-0.06400663150914791,-0.170778570031764,-0.7849241318563953,-0.31769120393998074,28000.0
18,녹십자,6280,2014,137000.0,0.28046697762407946,11686538.0,1601055706000.0,-1.1192527634795812,-0.1927974249824568,-0.19666679525507758,0.022005033066088038,-0.2721405888652735,0.5864973593866454,-0.5126163060400759,-0.28650365708883807,127500.0
19,녹십자,6280,2015,183000.0,0.3197001768220263,11686538.0,2138636454000.0,3.568627450980393,-0.2487426377649554,0.1308809977439262,0.21655858965466834,-0.20634874151015623,0.6345516607337385,-0.5577715533934192,-0.4517010520715505,173000.0
20,녹십자,6280,2016,157000.0,0.008286658188323512,11686538.0,1834786466000.0,0.2890173410404628,-0.042256489460089,0.06626272565568735,-0.5402110800881436,-0.23903777258596917,0.11755451486781696,-0.47246911635985767,-0.4799341157661583,178000.0
21,녹십자,6280,2017,226000.0,-0.09143105643979127,11686538.0,2641157588000.0,-0.898876404494382,0.021180760578639036,0.0083291024041629,0.3924815812232949,-0.25310646950467347,-0.058706196930136574,-0.585663948370335,-0.5856234217506221,162000.0
