,회사명,거래소코드,회계년도,정상영업이익증가율,순이익증가율,매출액증가율,주당순손익,부채비율,매출액정상영업이익률
1994,지에스건설(주),6360,2017,-17.240800966673888,-181.14703052672044,-5.814167503810463,0.0,306.6858569680239,2.537277520785521
1995,지에스건설(주),6360,2018,6.419834047771511,-5.455296880721673,-10.7359221751836,0.0,249.34736384228935,8.503193266168156
1996,지에스건설(주),6360,2019,-8.849819838945779,18.884916576803924,-5.179051524417139,0.0,234.6150816532765,7.678719818072724
1997,지에스건설(주),6360,2020,26.771528894095383,20.65342130353974,-9.052373861844275,0.0,218.49584329321496,7.467105749436881
1998,지에스건설(주),6360,2021,21.887076041933295,114.76360129202972,-2.6890235469220447,0.0,205.60935276239763,7.071482106599154
1999,지에스건설(주),6360,2022,-23.90248110773908,-10.665473218855242,-3.1109710262454877,0.0,214.53065322662067,5.285137720855658
2000,케이카(주),381970,2022,40.68703186075278,52.28068861898883,-1.9945871431723496,521.0,117.1123228713468,2.3519274122285467
2001,코스맥스(주),192820,2014,-56.56191677957752,-51.74855024351088,-11.03467745042956,0.0,288.5861109067348,8.837252954935611
2002,코스맥스(주),192820,2015,-31.65274396598652,-46.74400667378498,-10.372641714935922,0.0,321.2740804787096,7.773372018830376
2003,코스맥스(주),192820,2016,-34.54367228356821,-42.62721187774181,-5.860739099290434,0.0,412.39637763576377,7.74468490097716
2004,코스맥스(주),192820,2017,-64.91387041183741,-70.05157325868792,-10.232773046712088,0.0,249.31635385507735,4.357678502436963
2005,코스맥스(주),192820,2018,-28.69675624231312,-56.730192522067625,-3.93502196572865,0.0,331.5508933191232,4.536762536217274
2006,코스맥스(주),192820,2019,-20.992071842924314,-75.21342795253302,-4.47114528085043,0.0,280.16111837286894,3.795100605891699
2007,코스맥스(주),192820,2020,-46.99690817945658,-95.4628168844944,-15.432887363312595,0.0,283.3241630114482,5.460366559789981
2008,코스맥스(주),192820,2021,-43.14938646261925,-106.74643914929204,-8.226802840530585,0.0,209.3728785582056,7.876481767946373
2009,코스맥스(주),192820,2022,14.583570469303137,26.75491223678124,-2.0345084919432246,0.0,191.3395664232506,4.227087640547681
2010,코오롱인더스트리(주),120110,2010,11.8011997045481,19.815088208954585,-3.301636999381767,9601.0,194.96544546588152,7.760795937281959
2011,코오롱인더스트리(주),120110,2011,-36.821528926943344,-3.8566942700610194,-39.94986419779205,0.0,168.21766836701704,8.06620696548361
2012,코오롱인더스트리(주),120110,2012,-45.619792277154495,-59.96824729167998,-10.144337312947432,0.0,155.40801534642216,5.862090770598614
2013,코오롱인더스트리(주),120110,2013,-51.52861646607233,-66.8135500997457,-6.614852596889327,0.0,151.379956236208,4.2419889979209024
2014,코오롱인더스트리(주),120110,2014,-79.54790055720441,-195.7333336206109,-8.553449418651612,0.0,149.1180440040762,2.812150405280003
2015,코오롱인더스트리(주),120110,2015,-18.46982797377417,0.0450091410410565,-7.033292340655857,0.0,164.74282618197515,5.810532659274807
2016,코오롱인더스트리(주),120110,2016,-37.89686731278508,-54.02055421505651,-8.545856085492515,0.0,142.38442846321092,6.377135850637533
2017,코오롱인더스트리(주),120110,2017,-15.029534819210044,-44.27148431936055,-3.335525284290441,0.0,146.36874121059347,4.342946860757545
2018,코오롱인더스트리(주),120110,2018,-59.04341237580935,-113.3041720207436,-2.8029643632310126,0.0,139.12029309520517,3.320573534007037
2019,코오롱인더스트리(주),120110,2019,-16.227673682010433,3.34739798279338,-7.121540032372558,0.0,152.14387660861976,4.937596751158013
2020,코오롱인더스트리(주),120110,2020,-22.001048480986245,-24.67791842558257,1.6141419660910126,0.0,129.84993830476205,3.1837979759597457
2021,코오롱인더스트리(주),120110,2021,-25.38586499269204,-27.08098158324239,-4.686742973160558,0.0,111.8250859338284,7.346085691958068
2022,코오롱인더스트리(주),120110,2022,-42.42800941582793,-29.097253382347628,-9.322843913180652,0.0,124.33596314809272,5.185756735808091
2023,코웨이(주),21240,2007,14.002305114020189,14.227474965237596,1.6363290485312727,0.0,88.44052459312374,13.130744567619354
2024,코웨이(주),21240,2008,3.0641430616903165,13.747685917564304,0.2248740297766117,1228.0,83.44809899954015,14.572501416675662
2025,코웨이(주),21240,2009,2.383211243026337,-4.519759057383661,3.279726074013498,1503.0,91.69746383016376,14.14139233688814
2026,코웨이(주),21240,2010,-2.6719567777034903,-3.312541891273453,3.106095436035448,1762.0,90.85548229899452,15.688888229580549
2027,코웨이(주),21240,2011,-0.5813401844828959,16.911827526945704,-1.323950511569473,1735.0,111.6613167715632,14.193751480507194
2028,코웨이(주),21240,2012,-1.5534825651518265,-70.67088185958438,2.609227986637263,1324.0,107.68901620384663,14.06404900717782
2029,코웨이(주),21240,2013,17.5038504301643,0.6845993950351065,-4.658582860870005,2373.0,79.30227124561279,15.550137866078751
2030,코웨이(주),21240,2014,-1.9149543235347184,-3.539541414297368,-5.633547090599194,0.0,65.50937949953945,17.47955858379714
2031,코웨이(주),21240,2015,12.174584817218348,11.65424154921558,4.503397890025699,0.0,48.077724083946045,19.878366726904236
2032,코웨이(주),21240,2016,804.176857033166,2339.7153857994263,5.133060366079326,0.0,61.2008162073301,13.754592131765111
2033,코웨이(주),21240,2017,2.9522248678456458,-1.897098256829121,0.9961112378607948,0.0,118.3021630310398,19.627306472645262
2034,코웨이(주),21240,2018,0.7909272578943036,3.8801654663771954,-1.2247020764701173,0.0,114.00467178276654,19.592268451928057
2035,코웨이(주),21240,2019,1.4632703882559712,8.627892773166147,0.5458796354187828,0.0,144.16552818095371,18.59702235337672
2036,코웨이(주),21240,2020,-0.319313834666429,-1.79343074255047,-0.6332211773408891,0.0,115.75000132398944,20.069810650966907
2037,코웨이(주),21240,2021,-1.583445865377947,17.826832063364133,3.1585293299615214,0.0,104.39859319710474,18.429358791418245
2038,코웨이(주),21240,2022,-6.212031822285589,-14.004893033768326,-0.859881745773846,0.0,100.28106865218138,17.862965403657963
2039,쿠쿠홈시스(주),284740,2018,13.654236130855097,-33.92578434534443,9.696846509685525,0.0,30.377516551725314,18.382017829655343
2040,쿠쿠홈시스(주),284740,2019,30.967179478243445,72.08303775448003,-13.041125763278586,0.0,38.736939651327525,21.53237485344716
2041,쿠쿠홈시스(주),284740,2020,-21.40783613682381,-31.73303622711521,-2.412369389774707,0.0,30.89212730536417,20.516989590262416
2042,쿠쿠홈시스(주),284740,2021,5.1564676232107765,12.382915830748214,-0.6834652450786726,0.0,26.62622660775476,25.961516193485785
2043,쿠쿠홈시스(주),284740,2022,-0.780187264270719,21.63522223101069,-4.743883056009096,0.0,33.400122097030696,17.861249902469005
2044,키움증권(주),39490,2015,,,,,,
2045,키움증권(주),39490,2016,,,,,,
2046,키움증권(주),39490,2017,,,,,,
2047,키움증권(주),39490,2018,,,,,,
2048,키움증권(주),39490,2019,,,,,,
2049,키움증권(주),39490,2020,,,,,,
2050,키움증권(주),39490,2021,,,,,,
2051,키움증권(주),39490,2022,,,,,,
2052,태광산업(주),3240,2007,-12.375068741127244,19.324947441100758,10.495744360257216,0.0,18.69067345634309,9.803796312643156
2053,태광산업(주),3240,2008,-30.07814757712624,-99.59563206827733,10.112148274451553,-1414.0,32.82507395811028,2.25455148017049
2054,태광산업(주),3240,2009,94.01114498430186,167.42911820931545,15.239750218794828,266216.0,20.39880544819036,8.301648827776628
2055,태광산업(주),3240,2010,1.1522879058941182,-32.71813024411585,7.455795049386015,258579.0,19.936953799357774,15.96464292431446
2056,태광산업(주),3240,2011,-17.93063909037259,-14.000671638600345,4.40695425920654,298962.0,29.769528904545997,12.265625032226922
2057,태광산업(주),3240,2012,-143.038340445635,102.50365791702464,1.830543019869196,-2178.0,25.821212931995145,-0.0020015615187082
2058,태광산업(주),3240,2013,-5.974573201116156,21.931484939627936,4.347341918019175,0.0,53.40881582901288,6.13009225334041
2059,태광산업(주),3240,2014,12.917030321933986,26.19681911238937,1.1814895298164676,0.0,39.45614278870283,4.499804998332841
