,Unnamed: 0,종목코드,PER,PBR,PCR,PSR,배당수익률(%),정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률
6112,2015-03-01,31430,31.734166666666663,1.4438333333333333,13.956500000000002,0.7106666666666667,0.6664999999999998,-0.1582844698,0.544692651,-0.1668998625,0.0,0.957574722,0.03324004826
6113,2015-06-01,31430,40.105645161290326,1.8248387096774192,17.638225806451615,0.8987096774193549,0.5311290322580646,0.9279844698,-0.509992651,0.3348998625,1584.0,-0.04747472201,-0.00824004826
6114,2015-09-01,31430,47.36126984126984,2.155079365079365,20.82873015873016,1.0619047619047617,0.4460317460317459,-1.477490811,-2.903623186,0.01318868074,-1584.0,0.1827683248,-0.0107453002
6115,2015-12-01,31430,37.19238095238095,1.6931746031746029,16.357619047619046,0.8334920634920634,0.5658730158730161,0.9638908105,2.902123186,-0.0787886807399999,2958.0,-0.1259683248,0.0055453002
6116,2016-03-01,31430,30.161499999999997,1.3723333333333332,12.144333333333332,0.6335,0.6748333333333334,-0.648919195,-1.175856947,-0.1902766299,0.0,0.9669076435,0.0141160729
6117,2016-06-01,31430,24.679180327868856,1.1229508196721314,9.937049180327868,0.5188524590163934,0.828032786885246,0.589619195,0.1554569472,0.2232766299,-32.0,-0.06720764346,0.0086839270999999
6118,2016-09-01,31430,24.64790322580645,1.1216129032258066,9.92435483870968,0.5185483870967742,0.8266129032258065,-0.923846167,0.6407902458,0.0371947073599999,32.0,0.1328828708,-0.0068877047
6119,2016-12-01,31430,24.11619047619048,1.0976190476190475,9.710158730158728,0.5068253968253968,0.8488888888888887,1.339246167,0.2019097542,-0.0543947073599999,2432.0,-0.01348287084,0.0105877047
6120,2017-03-01,31430,26.35064516129032,0.9600000000000002,8.93758064516129,0.4487096774193548,0.9372580645161293,-0.7152359524,-0.5452348568000001,-0.06866638439,0.0,0.9677573421,0.01615790889
6121,2017-06-01,31430,30.294,1.104,10.274833333333332,0.5148333333333334,0.8158333333333335,0.5156359523999999,0.5452348568000001,0.1252663843999999,1062.0,-0.03685734214,0.00114209111
6122,2017-09-01,31430,26.843906250000003,0.97796875,9.10390625,0.4565625,0.92125,-0.7940524852,-2.06195176,0.1225913849,-1062.0,0.1369066263999999,-0.004822156
6123,2017-12-01,31430,27.357368421052637,0.9964912280701754,9.278947368421052,0.4650877192982456,0.9121052631578948,0.9344524852,2.44795176,-0.09949138493,3371.0,-0.1515066264,0.010622156
6124,2018-03-01,31430,24.37344262295082,1.1872131147540983,9.558852459016393,0.5316393442622951,0.7336065573770492,-0.2461570932,-0.4871108161,-0.05514439189,0.0,0.8957828408,0.0388863837
6125,2018-06-01,31430,45.08866666666666,2.194333333333333,17.682499999999997,0.9845,0.4068333333333332,2.203457093,2.106910816,0.2040443919,2783.0,-0.04458284081,0.0055136163
6126,2018-09-01,31430,57.28688524590163,2.788688524590164,22.46573770491804,1.250655737704918,0.3140983606557377,-0.1954091493,-0.09699846845,0.100228331,-2783.0,0.05442735025,-0.00262611307
6127,2018-12-01,31430,52.17403225806452,2.539354838709678,20.460161290322585,1.1388709677419353,0.3448387096774193,-0.5792908507,-0.1341015316,-0.103928331,8052.0,-0.1024273503,0.00222611307
6128,2019-03-01,31430,28.30677966101695,2.998305084745762,17.02322033898305,1.2884745762711869,0.3854237288135593,0.625466521,-0.1891013788,0.00774067831,0.0,0.9873452642,0.07971919895
6129,2019-06-01,31430,34.51064516129031,3.6556451612903222,20.753709677419355,1.5704838709677422,0.3120967741935484,0.05083347904,0.8487013788,0.1281593217,4618.0,-0.0403452641799999,-0.01421919895
6130,2019-09-01,31430,22.78904761904761,2.413492063492064,13.705079365079362,1.0373015873015872,0.4644444444444445,0.3068389282,1.168767855,0.1929979579,-4618.0,0.01601365246,-0.0043801649599999
6131,2019-12-01,31430,25.364838709677414,2.686451612903225,15.254193548387098,1.1543548387096774,0.4183870967741935,-0.4614389282,-1.541567855,-0.2002979579,10361.0,-0.07931365246,-0.00181983504
6132,2020-03-01,31430,20.499677419354835,2.539032258064517,11.697903225806453,1.064032258064516,0.5249999999999999,-0.4487155041,-0.7533814268000001,-0.1863341531,0.0,0.9025347645,0.03697123942
6133,2020-06-01,31430,18.64344262295082,2.3096721311475408,10.638032786885246,0.9663934426229508,0.5745901639344263,-0.3361844959,0.3881814268,0.1008341530999999,2932.0,0.0676652355099999,-0.02157123942
6134,2020-09-01,31430,14.43671875,1.78859375,8.23859375,0.7496875,0.736875,-3.73945283,-0.6851126823,0.1623599062,-2932.0,-0.04252249588,0.00194228593
6135,2020-12-01,31430,14.817049180327867,1.8355737704918036,8.455245901639344,0.7691803278688524,0.718032786885246,3.92395283,0.7386126822999999,-0.1466599062,7131.0,-0.1381775041,0.0081577140699999
