,회사명,거래소코드,회계년도,당기순이익,주당순손익,부채,매출액(수익),자본,(정상)영업손익,부채비율,매출액정상영업이익률
0,(주)BNK금융지주,138930,2011/03,,,,,,,,
1,(주)BNK금융지주,138930,2012/03,,,,,,,,
2,(주)BNK금융지주,138930,2013/03,,,,,,,,
3,(주)BNK금융지주,138930,2014/03,,,,,,,,
4,(주)BNK금융지주,138930,2015/03,,,,,,,,
5,(주)BNK금융지주,138930,2016/03,,,,,,,,
6,(주)BNK금융지주,138930,2017/03,,,,,,,,
7,(주)BNK금융지주,138930,2018/03,,,,,,,,
8,(주)BNK금융지주,138930,2019/03,,,,,,,,
9,(주)BNK금융지주,138930,2020/03,,,,,,,,
10,(주)BNK금융지주,138930,2021/03,,,,,,,,
11,(주)BNK금융지주,138930,2022/03,,,,,,,,
12,(주)DB하이텍,990,2007/03,14424004.0,0.0,825633552.0,309053311.0,402291151.0,27480271.0,205.23283943672922,8.891757512994255
13,(주)DB하이텍,990,2008/03,-16952010.0,-520.0,2356600964.0,388784892.0,864024004.0,1746982.0,272.74716363088453,0.4493441067149286
14,(주)DB하이텍,990,2009/03,-85234407.0,-2617.0,2395531436.0,325524224.0,767682983.0,-43261765.0,312.04696327103557,-13.289875778952782
15,(주)DB하이텍,990,2010/03,1891133.0,57.0,1874496498.0,320979251.0,602989594.0,-860488.0,310.86713877851764,-0.2680821259689462
16,(주)DB하이텍,990,2011/03,-2247337.0,-58.0,995104444.0,147257072.0,361416926.0,6749343.0,275.3342116578126,4.583374440583744
17,(주)DB하이텍,990,2012/03,-16315329.0,-421.0,916576731.0,142781554.0,278611530.0,-4147473.0,328.98018649838366,-2.9047680766942765
18,(주)DB하이텍,990,2013/03,-29282495.0,-729.0,884747044.0,121212993.0,262497519.0,-7402275.0,337.0496785533428,-6.106832953130692
19,(주)DB하이텍,990,2014/03,-23244195.0,-578.0,862588839.0,118588031.0,182276535.0,830169.0,473.23087362835815,0.7000445095508838
20,(주)DB하이텍,990,2015/03,61212614.0,1516.0,802004148.0,145499879.0,182837537.0,18406514.0,438.6430495396577,12.650535606287342
21,(주)DB하이텍,990,2016/03,27240935.0,629.0,728619474.0,183876313.0,280519056.0,40707488.0,259.7397426005883,22.138516558138733
