회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),연구개발비(IFRS),매출액(수익)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
(주)SNT홀딩스,036530,2016/12,15850,70.43,32.7,1.16,0.54,640.17,297.22,49.66,23.06,27.34,1.63,427001710,6923176,1818263,0,9818190,7999927
(주)SNT홀딩스,036530,2017/12,15750,69.81,54.44,0.69,0.54,47.1,36.73,39.27,30.62,43.53,0.98,425435423,4172419,2015960,0,7417869,5401909
(주)SNT홀딩스,036530,2018/12,13000,41.82,28.32,0.62,0.42,38.86,26.31,35.66,24.15,38.53,1.47,422804813,6218079,1900080,0,7292112,5392033
(주)SNT홀딩스,036530,2019/12,15450,29.1,20.64,0.66,0.47,26.64,18.89,24.42,17.32,27.67,2.2,417172874,9244252,2024424,0,11015928,8991504
(주)SNT홀딩스,036530,2020/12,14900,11.93,7.14,0.66,0.39,11.95,7.15,10.82,6.47,10.45,5.46,423961201,22951239,2336659,0,25309708,22973048
(주)STX,011810,2015/12,3435,0,0,3.09,0.17,7.19,0.39,0.15,0.01,0,-84.03,1057543000,-53449000,26282000,0,1362127000,-16336000
(주)STX,011810,2016/12,1660,0,0,0,0,4.4,1.09,0.1,0.02,0,0,627686000,-456150000,77154000,0,1465561000,-105780000
(주)STX,011810,2017/12,23850,11.28,0.79,89.15,6.26,40.4,2.84,2.38,0.17,20.72,0,520393000,336179000,23434000,0,1595494000,30170000
(주)STX,011810,2018/12,11750,142.82,40.18,11.95,3.36,0,0,0.54,0.15,0,9.4,446758000,5024000,17055000,0,1329890000,-6902000
(주)STX,011810,2019/12,8010,0,0,7.88,2.79,30.55,10.84,0.31,0.11,0,-65.84,462734000,-37142000,26114000,0,1237876000,-13697000
(주)STX,011810,2020/12,5600,0,0,7.04,3.34,2.57,1.22,0.22,0.1,0,-43.36,362854000,-16578000,21325000,0,788462000,-7439000
(주)TCC스틸,002710,2015/12,2180,0,0,0.98,0.49,2,0.99,0.21,0.1,9.79,-97.74,330651742,-140083396,23812910,0,350074629,14570434
(주)TCC스틸,002710,2016/12,2465,4.91,2.67,0.85,0.46,0,0,0.24,0.13,8.62,18.29,250878191,15468493,22384689,0,317235565,13291420
(주)TCC스틸,002710,2017/12,1890,0,0,0.71,0.47,0,0,0.18,0.12,14.62,-2.56,248896237,-2328706,22532022,0,333762378,6759804
(주)TCC스틸,002710,2018/12,2000,7.99,4.81,0.64,0.39,4.33,2.61,0.17,0.1,7.54,8.05,268135677,7565000,14196981,0,351301866,16306122
(주)TCC스틸,002710,2019/12,2720,34.42,21.21,0.73,0.45,0,0,0.2,0.12,10.29,2.04,270265082,1996130,14356868,0,339334364,12657106
(주)TCC스틸,002710,2020/12,5290,0,0,1.51,0.25,0,0,0.44,0.07,31.84,-3.24,261204640,-3176050,14487393,0,323435107,2414062
(주)강원랜드,035250,2015/12,38400,22.81,14.81,3.51,2.28,16.88,10.96,6.02,3.91,12.02,15.07,3688060027,430459518,272340184,108201,1630976696,603884505
(주)강원랜드,035250,2016/12,35750,20.97,16.62,3.13,2.48,15.88,12.59,5.63,4.46,10.83,14.56,3975979890,454998593,287586131,114514,1694575212,624885355
(주)강원랜드,035250,2017/12,34800,19.36,15.86,2.56,2.1,18.16,14.88,5.28,4.32,12.07,12.94,4182527382,437096330,281945764,64234,1602901764,535824585
(주)강원랜드,035250,2018/12,32000,24.65,18.2,2.15,1.59,20.02,14.79,5.1,3.77,13.61,8.39,4229630541,297320114,274005028,49171,1436042435,434851737
(주)강원랜드,035250,2019/12,29600,22.02,17.63,2.09,1.67,18.07,14.46,4.87,3.9,11.04,9.19,4436461953,335609508,280523986,60061,1517612252,502725264
(주)강원랜드,035250,2020/12,23500,0,0,1.96,1.06,0,0,13.33,7.17,0,-8.01,3635973900,-278763195,363985953,8215,477474858,-430879909
(주)갤럭시아에스엠,011420,2015/12,3455,41.12,13.89,2.23,0.75,35.22,11.9,1.97,0.67,18.15,6.96,67196553,2575902,2746300,0,53784932,2581511
(주)갤럭시아에스엠,011420,2016/12,2125,0,0,2.34,1.03,0,0,2.16,0.95,0,-3.27,55825556,-1562620,3611285,0,45665676,-3225040
(주)갤럭시아에스엠,011420,2017/12,2935,0,0,2.63,1.43,0,0,2.72,1.48,0,-13.83,48958128,-5899738,3179800,0,36917656,-3330404
(주)갤럭시아에스엠,011420,2018/12,1660,0,0,3.72,1.31,0,0,4.29,1.51,0,-46.6,33337692,-15678085,4605442,0,22030258,-6687587
(주)갤럭시아에스엠,011420,2019/12,1485,0,0,4.85,1.92,120.21,47.75,3.45,1.37,27.74,-5.66,28241598,-1375316,2571538,0,28732679,-776659
(주)갤럭시아에스엠,011420,2020/12,1430,63.84,19.4,3.24,0.98,21.89,6.65,3.21,0.98,12.23,4.63,28554685,983909,1498577,0,19539594,1375120
(주)경농,002100,2015/12,5090,20.83,15.54,0.82,0.61,0,0,0.98,0.73,11.79,3.79,265109291,6488880,44084513,7653105,137609256,9122621
(주)경농,002100,2016/12,5800,30.33,17.85,1.04,0.61,20.16,11.87,1.22,0.72,15.13,3.3,266622289,5770891,45606489,11635162,143209666,7226128
(주)경농,002100,2017/12,6010,12.76,10.23,0.85,0.68,10.23,8.2,1.03,0.82,12.59,6.42,268967010,11539079,43121579,8345382,143175105,9079453
(주)경농,002100,2018/12,10800,36.55,12.7,1.97,0.68,75.99,26.41,2.4,0.84,14.26,5.2,285031873,9613575,39627710,6973495,146216658,15180272
(주)경농,002100,2019/12,11350,74.8,30.72,2.89,1.19,120.26,49.39,3.49,1.43,17.34,3.74,297197088,7061857,44960436,6692978,151342037,11750268
(주)경농,002100,2020/12,12000,41.06,11.95,2.27,0.66,50.32,14.64,2.59,0.75,17.74,5.39,299102193,10459504,46262714,7110304,165655312,11856809
(주)경동나비엔,009450,2015/12,31250,27.79,14.37,3.04,1.57,14.7,7.6,1.2,0.62,14.93,10.94,324848990,19320742,92672044,5390244,448302084,20800513
(주)경동나비엔,009450,2016/12,43050,28.92,11.77,4.13,1.68,15.17,6.17,1.64,0.67,11.93,14.48,347643876,28636194,100453303,7504305,506082201,36574176
(주)경동나비엔,009450,2017/12,51300,43.09,23.81,3.32,1.83,52.17,28.83,1.23,0.68,16.06,7.54,391400492,16291264,114583201,8781572,569819524,32019764
(주)경동나비엔,009450,2018/12,41550,40.92,19.43,4.09,1.94,0,0,1.51,0.72,14.24,9.87,440513661,22818064,122339017,12275514,618058456,29337538
(주)경동나비엔,009450,2019/12,46600,38.7,20.22,3.27,1.71,20.77,10.85,1.21,0.63,11.32,8.27,461607017,20474157,137056391,10011736,655419303,39202886
(주)경동나비엔,009450,2020/12,52100,41.68,17.57,2.95,1.24,14.47,6.1,1.05,0.44,11.08,7.05,535511600,18888348,170451205,9986857,746324940,45462923
(주)경동도시가스,267290,2017/12,36250,,,,,,,,,,,707917077,17678888,55682161,0,870828897,21529500
(주)경동도시가스,267290,2018/12,33200,7.32,4.46,0.82,0.5,2.07,1.26,0.15,0.09,0.82,10.66,775880913,33981432,82145199,0,1605687067,43022492
(주)경동도시가스,267290,2019/12,21250,9.59,4.91,0.72,0.37,6.95,3.56,0.16,0.08,1.02,7.42,747453908,24355132,83393461,0,1421866212,27681162
(주)경동도시가스,267290,2020/12,18600,7.1,3.78,0.39,0.21,0,0,0.12,0.07,1.61,5.43,697182108,18813524,83965284,0,1086023402,17853641
(주)경동인베스트,012320,2015/12,89200,0,0,0.85,0.57,0,0,0.33,0.22,6.54,-1.1,926392697,-6095609,70357549,0,1352478311,18397933
(주)경동인베스트,012320,2016/12,76700,19.17,12.59,0.58,0.38,9.63,6.32,0.31,0.2,4.67,2.96,903818865,16356641,73040855,0,1021002691,23543293
(주)경동인베스트,012320,2017/12,42750,31.06,14.18,0.73,0.34,4.54,2.07,367.59,167.82,26.27,1.67,318031347,7248447,2869295,0,612436,-2256859
(주)경동인베스트,012320,2018/12,37250,114.12,52.56,0.58,0.27,103.98,47.89,24.09,11.09,434.79,0.51,318776653,1574966,3987138,0,7460898,-161816
(주)경동인베스트,012320,2019/12,36650,0,0,0.38,0.24,114.72,71.1,13.6,8.43,190.33,-0.3,316572482,-917643,4807448,0,8641051,-95605
(주)경동인베스트,012320,2020/12,31200,71.87,29.97,0.31,0.13,0,0,12.22,5.1,78.16,0.43,306973265,1309750,4636649,0,7700621,467407
(주)경방,000050,2015/12,192500,33.63,19.54,1.09,0.63,16.48,9.58,2.36,1.37,13.38,3.27,1259512344,21604723,59647194,12673,307744480,38629926
(주)경방,000050,2016/12,15300,19.47,1.35,0.88,0.06,9.77,0.68,1.92,0.13,10.09,4.55,1237024388,30977743,61204284,5721,313876822,42576774
(주)경방,000050,2017/12,13900,18.1,13.99,0.66,0.51,9.06,7,1.61,1.25,9.19,3.67,1199063663,25679379,60320796,12785,288103985,39411167
(주)경방,000050,2018/12,10800,16.01,9.67,0.65,0.39,15.88,9.59,1.67,1.01,8.2,4.05,1226545382,29198252,62297979,25475,279085217,38971836
(주)경방,000050,2019/12,9280,15.48,11.29,0.47,0.34,5.27,3.84,1.36,0.99,7.83,3.02,1296265431,22223943,63022915,22187,253552382,38966424
(주)경방,000050,2020/12,12400,16.02,7.11,0.55,0.25,8.95,3.98,1.84,0.82,8.7,3.47,1212393834,26011323,70775739,15722,226061886,25369343
(주)경보제약,214390,2015/12,14200,33.51,11.01,7.64,2.51,206.37,67.81,4.91,1.61,11.03,27.32,195488457,26109623,22924910,1866738,178032632,25632335
(주)경보제약,214390,2016/12,13950,42.9,21.92,4.49,2.3,21.52,11,2.92,1.49,14.21,10.08,203735980,12705930,28509177,1484458,186726170,15594227
(주)경보제약,214390,2017/12,12550,19.7,14.37,2.66,1.94,13.71,10.01,1.85,1.35,8.94,13.26,204869399,17963310,30036042,765403,191661374,24586649
(주)경보제약,214390,2018/12,10250,31.44,16.95,2.91,1.57,0,0,2.05,1.1,9.81,9.03,221622993,13116049,31994604,769777,201343596,17266575
(주)경보제약,214390,2019/12,8260,52.24,33.2,1.93,1.22,11.67,7.41,1.44,0.92,13.16,3.55,237816742,5285239,34522080,1418246,191706189,6194073
(주)경보제약,214390,2020/12,16350,57.45,11.64,3.59,0.73,25.98,5.27,2.51,0.51,20.83,6.16,253239177,9404446,43803308,6238238,215285095,8661432
(주)경인양행,012610,2015/12,3670,2352.34,1208.16,1.39,0.71,0,0,1.44,0.74,40.42,0.06,273778266,107330,26546410,0,175006703,74687
(주)경인양행,012610,2016/12,4990,76.89,34.16,1.53,0.68,34.01,15.11,1.6,0.71,35.86,1.98,290035389,3724987,26292972,0,179267850,2198152
(주)경인양행,012610,2017/12,5800,524.66,279.82,1.49,0.8,427.19,227.83,1.44,0.77,57.16,0.28,296909084,531273,28970760,0,193975818,159204
(주)경인양행,012610,2018/12,5800,40.51,25.59,1.57,0.99,329.61,208.22,1.35,0.85,17.82,3.81,344908257,7419717,40878853,0,222659442,11975046
(주)경인양행,012610,2019/12,7740,85.88,46.23,2.11,1.14,0,0,1.68,0.9,20,2.4,381063538,4797711,42802896,0,245244968,14176378
(주)경인양행,012610,2020/12,7040,0,0,2.34,0.8,11.57,3.95,2.01,0.69,67.73,-5.21,386097816,-10222700,46476293,0,214380449,-5436685
(주)광명전기,017040,2015/12,2360,34.24,25.18,1.74,1.28,8.59,6.32,1.27,0.93,15.51,4.96,107719518,3442541,5634873,0,93000177,3839499
(주)광명전기,017040,2016/12,3260,12.19,4.55,2.29,0.86,67.63,25.26,1.96,0.73,23.88,19.81,125405290,15612709,5552391,0,96931493,3818917
(주)광명전기,017040,2017/12,2590,0,0,1.86,1.21,29.11,18.91,1.46,0.95,18.71,-1.57,128881408,-1349854,5905693,0,105083042,3754872
(주)광명전기,017040,2018/12,2620,74.9,29.01,2.81,1.09,0,0,2.46,0.95,22.94,3.67,124159091,3182514,6660054,0,96949804,2970976
(주)광명전기,017040,2019/12,2280,22.81,11.52,1.64,0.83,6.25,3.16,1.18,0.6,9.52,7.1,140591786,6470387,6130677,0,125009206,7313078
(주)광명전기,017040,2020/12,2010,21.97,9.3,1.13,0.48,15.07,6.38,0.96,0.4,10.12,5.07,149581712,4892166,6248569,0,112536086,4730459
(주)광주신세계,037710,2015/12,283000,13.4,9.08,1.26,0.85,11.8,8,3,2.03,8.89,9.77,659495158,45901413,82606671,0,205331892,54772399
(주)광주신세계,037710,2016/12,248500,9.97,8.15,0.86,0.7,9.07,7.41,2.16,1.76,7.25,8.88,655502726,45554028,85361942,0,210423594,56047368
(주)광주신세계,037710,2017/12,229500,9,7.36,0.75,0.61,8.39,6.86,2.05,1.68,6,8.59,655018971,47846191,84738271,0,209647360,56289748
(주)광주신세계,037710,2018/12,180000,8.73,5.85,0.64,0.43,7.31,4.9,2.91,1.95,4.3,7.52,696204982,45093180,67411400,0,135213362,50068808
(주)광주신세계,037710,2019/12,164000,7,5.22,0.51,0.38,4.49,3.35,2.15,1.61,2.76,7.44,752423111,47668959,81207140,0,154879496,55102645
(주)광주신세계,037710,2020/12,153000,6.73,4.13,0.42,0.26,5.73,3.52,1.97,1.21,2.28,6.35,784428251,43159504,83242337,0,147508454,48310490
(주)국동,005320,2015/12,10100,21.53,7.54,5.12,1.79,86.32,30.25,1.12,0.39,12.17,28.98,66242141,5321778,12903592,0,102431161,6875576
(주)국동,005320,2016/12,7990,23.56,10.06,2.58,1.1,0,0,0.81,0.35,9.8,14.02,86116813,4379974,17142553,0,127275873,7880757
(주)국동,005320,2017/12,3110,0,0,3.78,0.97,0,0,1.12,0.29,0,-16.75,75154254,-6593433,20843992,0,130016453,-2404926
(주)국동,005320,2018/12,2690,55.41,20.74,1.79,0.67,0,0,0.55,0.2,37.73,3.36,80727956,1351547,19870987,0,136811631,1682592
(주)국동,005320,2019/12,1235,0,0,1.28,0.43,7.26,2.42,0.6,0.2,0,-14.55,96856085,-6989987,26450412,0,116180044,-9536815
(주)국동,005320,2020/12,4200,0,0,3.26,0.61,5.92,1.11,1.23,0.23,5.16,-1.49,131882662,-891014,28924547,0,167078106,29930195
(주)국보,001140,2015/12,19450,0,0,2.18,1.07,0,0,0.3,0.15,0,-19.32,80158667,-3679630,7066966,0,85267457,-2191281
(주)국보,001140,2016/12,21000,0,0,3.77,1.79,184.38,87.8,0.42,0.2,82.51,-33.21,77487791,-5034348,5842638,0,77773715,-507392
(주)국보,001140,2017/12,9380,0,0,3.6,1.14,0,0,0.53,0.17,0,-18.89,69819240,-2761653,8250050,0,74662255,-3408921
(주)국보,001140,2018/12,11350,0,0,11.05,2.79,0,0,0.9,0.23,0,-29.24,45599283,-4038217,7466319,0,66929948,-4639062
(주)국보,001140,2019/12,2435,0,0,19.54,1.16,0,0,2.26,0.13,101.36,-82.58,57467353,-9851123,3316865,0,58296078,-1521920
(주)국보,001140,2020/12,1805,0,0,4.91,1.02,0,0,2.41,0.5,0,-46.37,74173160,-10080819,9354277,0,53288999,-7534112
(주)금양,001570,2015/12,1870,35.42,20.78,1.85,1.09,15.83,9.29,0.54,0.32,16.8,5.02,157467543,2338700,10866816,0,152450369,8205515
(주)금양,001570,2016/12,2985,0,0,8.81,3.01,100.99,34.47,1.22,0.42,21.21,-68.9,174953809,-23749351,11674073,1163043,161001876,8874219
(주)금양,001570,2017/12,2480,355.25,244.6,4.17,2.87,11.33,7.8,0.86,0.59,24.93,1.37,167120998,366688,11886877,1254707,150809075,5934740
(주)금양,001570,2018/12,2335,8.02,5.56,2.8,1.94,0,0,0.85,0.59,21.78,40.07,155507052,16116052,13928604,1721470,151676398,6516687
(주)금양,001570,2019/12,2400,0,0,3.65,2.41,0,0,0.94,0.62,27.53,-30.29,171931897,-12752836,14192700,1654151,135915020,5271746
(주)금양,001570,2020/12,6620,0,0,7.46,1.45,53.92,10.51,2.84,0.55,62.56,-10.07,160123582,-4095630,13738016,909310,120928396,3963612
(주)금호에이치티,214330,2015/12,9900,5.68,4.9,1.18,1.02,9.77,8.44,0.52,0.45,4.26,23.27,109367040,16768247,9499852,2539699,181779820,20514465
(주)금호에이치티,214330,2016/12,6340,9.24,4.3,1.3,0.6,6.47,3.01,0.63,0.29,4.21,14.74,151786975,12887704,6978432,0,189733826,16480586
(주)금호에이치티,214330,2017/12,4920,14.75,8.29,0.83,0.47,11.01,6.19,0.48,0.27,4.64,5.71,146407321,5433832,7372995,0,165485490,11007981
(주)금호에이치티,214330,2018/12,7030,13.51,6.46,0.73,0.35,5.06,2.42,0.51,0.24,8.18,6.21,230268876,7102658,7664778,0,189250383,7513991
(주)금호에이치티,214330,2019/12,5880,101.18,42.91,1,0.43,14.99,6.36,0.82,0.35,15.94,1.15,314666069,1794762,7398106,0,221734443,4530371
(주)금호에이치티,214330,2020/12,2640,0,0,0.76,0.2,10.83,2.82,0.95,0.25,218.64,-5.21,333352730,-10619831,8236134,0,181173914,-4472261
(주)까뮤이앤씨,013700,2015/12,11800,16.51,5.24,1.91,0.61,10.84,3.44,0.64,0.2,15.3,12.69,129465385,5169039,6817838,7081,132370311,4029706
(주)까뮤이앤씨,013700,2016/12,11050,18.58,13.87,1.21,0.9,0,0,0.43,0.32,16.29,6.72,142978398,3256253,6728513,100,139708060,4443394
(주)까뮤이앤씨,013700,2017/12,10100,8.96,5.19,1.32,0.76,9.28,5.37,0.44,0.25,5.92,15.31,139937930,8436815,8760987,312997,172176860,10091338
(주)까뮤이앤씨,013700,2018/12,1330,42.07,2.52,1.27,0.08,0,0,0.63,0.04,17.73,2.93,142240175,1738796,7742491,230520,116296828,4050404
(주)까뮤이앤씨,013700,2019/12,1270,5.82,3.76,1.14,0.74,10.3,6.66,0.28,0.18,4.99,20.68,168876167,13494869,13416524,347155,283420655,14845481
(주)까뮤이앤씨,013700,2020/12,2995,17.93,3.43,2.03,0.39,0,0,1.02,0.2,40.44,11.98,166218114,9202738,10209731,570694,161728918,2818116
(주)나이스홀딩스,034310,2015/12,21750,170.75,80.24,3.81,1.79,148.2,69.64,38.37,18.03,83.94,2.15,379918653,6822102,22208180,0,30358130,8149951
(주)나이스홀딩스,034310,2016/12,17600,50.76,31.78,2.91,1.82,55.05,34.46,27.66,17.31,40.88,5.77,388557495,18359912,18384353,0,33693212,15308860
(주)나이스홀딩스,034310,2017/12,14650,145.05,102.13,2.32,1.63,46.74,32.91,19.82,13.96,29.63,1.57,384843529,5118791,19185322,0,37458486,18273165
(주)나이스홀딩스,034310,2018/12,17950,0,0,2.49,1.6,33.86,21.79,20.29,13.06,29.64,-4.97,423389599,-16465295,17709047,0,40325277,22616230
(주)나이스홀딩스,034310,2019/12,20900,183.18,127.3,2.9,2.01,34.99,24.32,20.99,14.59,28.85,1.53,438147427,5118265,17202220,0,44669568,27467348
(주)나이스홀딩스,034310,2020/12,19450,0,0,3.1,1.58,45.93,23.34,23.91,12.15,38.7,-4.35,473226005,-14069974,19784997,0,38980661,19195664
(주)남선알미늄,008350,2015/12,1235,11.43,6.7,1.65,0.97,0,0,0.49,0.28,10.07,15.62,286102329,14881686,26865920,1885056,350317585,17100780
(주)남선알미늄,008350,2016/12,1190,8.45,5.33,1.41,0.89,4.17,2.63,0.43,0.27,6.76,18.08,283413750,20399638,22856375,1786486,400734305,24179476
(주)남선알미늄,008350,2017/12,990,7.14,4.86,1.05,0.72,5.13,3.49,0.39,0.26,6.22,16.08,284649401,21742400,23522428,1732365,400667879,20750090
(주)남선알미늄,008350,2018/12,2830,14.78,4.16,2.22,0.63,15.4,4.33,1.08,0.3,23.29,16.03,294949630,25376157,25291951,1704626,347834921,9581679
(주)남선알미늄,008350,2019/12,3230,77.91,28.89,3.69,1.37,23.35,8.66,2,0.74,21.86,4.83,292559970,8338512,23293395,1908936,324782177,11592894
(주)남선알미늄,008350,2020/12,4695,0,0,5.07,1.85,0,0,3.28,1.2,134.72,-1.41,276931596,-2461919,20549219,1719644,268474786,-1420763
(주)남성,004270,2015/12,1995,35.45,2.57,0.81,0.06,0,0,1.05,0.08,30.22,2.28,176973347,1848869,4387499,431158,62237269,3677218
(주)남성,004270,2016/12,1835,70.15,37,1.31,0.69,28.47,15.02,1.35,0.71,25.39,1.74,169335721,1360255,4959014,540210,70870441,4118637
(주)남성,004270,2017/12,2160,74.57,47.84,1.17,0.75,6.15,3.94,1.29,0.83,18.22,1.68,170016707,1354923,4937152,593121,78335735,5822850
