종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","4505","90","2.04","4415","4505","4360","26903","119659200","210934438975","46822295"
"068400","AJ렌터카","12300","100","0.82","12250","12550","12150","112675","1389612050","272399490000","22146300"
"006840","AK홀딩스","54000","-500","-0.92","54800","54800","53000","14626","787046100","715368294000","13247561"
"027410","BGF","8070","-40","-0.49","8120","8210","8050","74603","604626010","769629274530","95369179"
"282330","BGF리테일","204000","1000","0.49","203000","207500","203000","16108","3303972500","3525916824000","17283906"
"138930","BNK금융지주","7330","-20","-0.27","7340","7380","7290","833226","6114799170","2389105353180","325935246"
"001460","BYC","246000","0","0.00","245000","246000","244000","89","21880000","153655290000","624615"
"001465","BYC우","114000","0","0.00","113500","114000","111500","46","5153000","24553890000","215385"
"001040","CJ","121500","1000","0.83","120500","121500","119000","53727","6471953500","3545005257000","29176998"
"079160","CJ CGV","41000","-100","-0.24","41200","41500","40650","77207","3163325450","867613833000","21161313"
"000120","CJ대한통운","167000","-1500","-0.89","169500","169500","165500","28950","4838444500","3809661448000","22812344"
"011150","CJ씨푸드","2320","50","2.20","2280","2335","2280","26584","61406900","83359393360","35930773"
"011155","CJ씨푸드1우","27150","0","0.00","27150","27500","26700","338","9084150","5430000000","200000"
"001045","CJ우","52000","-100","-0.19","52000","52300","51500","6590","341986900","117531596000","2260223"
"097950","CJ제일제당","330500","5000","1.54","324500","335000","324500","33651","11101609500","4975408473000","15054186"
"097955","CJ제일제당 우","125000","500","0.40","124500","125000","124000","1653","206022000","165929125000","1327433"
"037560","CJ헬로","9160","-40","-0.43","9350","9350","9150","127744","1177387990","709413283400","77446865"
"000590","CS홀딩스","63900","200","0.31","63200","63900","62000","684","42931500","73771399800","1154482"
"012030","DB","831","1","0.12","830","837","816","360754","299448765","167175538323","201173933"
"016610","DB금융투자","4445","5","0.11","4440","4490","4415","37997","169053900","188674199105","42446389"
"005830","DB손해보험","70400","-600","-0.85","70800","71900","69900","111155","7848478700","4984320000000","70800000"
"000990","DB하이텍","10850","150","1.40","10750","10950","10550","126845","1376448350","481724679800","44398588"
"000995","DB하이텍1우","36400","-600","-1.62","36550","36750","36000","90","3253100","4088302400","112316"
"139130","DGB금융지주","8310","-70","-0.84","8360","8390","8280","599053","4975789630","1405601872230","169145833"
"004840","DRB동일","6560","0","0.00","6530","6670","6510","2525","16631200","127788800000","19480000"
"155660","DSR","3990","190","5.00","3805","4005","3780","93775","369442845","63840000000","16000000"
"069730","DSR제강","4300","-25","-0.58","4330","4395","4270","84776","367712385","61920000000","14400000"
"017940","E1","55800","-600","-1.06","56000","56500","55500","5272","293590600","382788000000","6860000"
"007700","F&F","40050","300","0.75","39550","41050","39500","44941","1811425750","616770000000","15400000"
"114090","GKL","24900","100","0.40","24800","25400","24600","156444","3919973300","1540206183000","61855670"
"078930","GS","51600","1100","2.18","50100","51800","50100","161625","8278266800","4794433504800","92915378"
"006360","GS건설","43750","-750","-1.69","44000","44600","43600","460584","22146125250","3469245850000","79297048"
"001250","GS글로벌","2465","20","0.82","2460","2480","2455","62312","153719040","203445728260","82533764"
"007070","GS리테일","40500","1050","2.66","39700","40800","39450","173621","7013193050","3118500000000","77000000"
"078935","GS우","35750","-50","-0.14","35800","35800","35550","1465","52287600","63807529500","1784826"
"012630","HDC","17250","-100","-0.58","17550","17600","17200","273460","4730945800","1030544687250","59741721"
"039570","HDC아이콘트롤스","9520","70","0.74","9450","9520","9390","62378","593050160","156699200000","16460000"
"089470","HDC현대EP","4295","40","0.94","4330","4330","4220","9128","39129670","137010500000","31900000"
"294870","HDC현대산업개발","48200","850","1.80","47350","49200","46750","90500","4368908600","2117822204000","43938220"
"082740","HSD엔진","5280","80","1.54","5300","5380","5150","178589","939408320","173960909760","32947142"
"003560","IHQ","1860","15","0.81","1850","1900","1850","658868","1232056740","271998491280","146235748"
"175330","JB금융지주","5700","110","1.97","5630","5700","5560","332075","1876382420","1122802495800","196982894"
"234080","JW생명과학","21950","950","4.52","21100","22500","21100","87181","1918526100","347568460300","15834554"
"001060","JW중외제약","40750","250","0.62","40150","41150","40150","62580","2553501950","807072495000","19805460"
"001067","JW중외제약2우B","40800","750","1.87","40800","41500","40100","242","9782700","3512798400","86098"
"001065","JW중외제약우","25300","450","1.81","24750","25450","24750","105","2625300","4152008300","164111"
"096760","JW홀딩스","7140","50","0.71","7090","7240","7030","37546","268746010","451666096980","63258557"
"105560","KB금융","46500","1050","2.31","45700","46500","45700","831292","38509592150","19442186470500","418111537"
"002380","KCC","309000","3000","0.98","302500","311000","302500","16154","4972544500","3261962517000","10556513"
"009070","KCTC","2875","65","2.31","2835","2945","2830","90482","261925570","86250000000","30000000"
"009440","KC그린홀딩스","3725","25","0.68","3670","3775","3670","27635","103359855","83570300500","22434980"
"119650","KC코트렐","4260","120","2.90","4145","4470","4120","239047","1020945300","55380000000","13000000"
"092220","KEC","1035","10","0.98","1025","1060","1025","857508","894473685","116387427735","112451621"
"001390","KG케미칼","17400","-200","-1.14","17600","18000","17200","109757","1915604750","216726152400","12455526"
"001940","KISCO홀딩스","13750","-100","-0.72","13750","13900","13600","6437","88709350","254050225000","18476380"
