회사명,종목코드,회계년도,종가,ROE,시가총액,PER,PBR,PCR,PSR,PRR,RDS,RDO,RDN,ROA,판관비,EY,수정종가,수익률
DB하이텍,000990,2015,14300.0,2.878224574651705,634459997600.0,-0.5313699185527027,-0.10173404846475402,-0.4801930681085294,-0.3953148150199703,-0.06229911608114435,1.8064774540601056,-0.021896207733510434,-0.059592395750920284,2.0646669321793496,-0.4012024945460525,1.2796076199956476,5880.0,-1.1445783132530118
DB하이텍,000990,2016,15900.0,2.711142529902787,705448528800.0,-0.4816767479906005,-0.10397320875175817,-0.4899764411073872,-0.3803358704046808,-0.06229850363602516,1.6611537922543937,-0.03454392427243357,0.006077914678004229,1.0391805795440363,-0.3969781170580855,1.9099558848787273,18100.0,20.782312925170068
DB하이텍,000990,2017,12000.0,2.431754926245201,532413984000.0,-0.4561424714201821,-0.2092137422409557,-0.46620375905408795,-0.3610081999333395,-0.06230567304046659,1.994169916104805,-0.024200827724129566,-0.028274833486838475,1.5971300624609068,-0.29222346722617737,2.1993610630954863,20350.0,1.2430939226519344
DB하이텍,000990,2018,10850.0,0.9866466314645842,481724679800.0,-0.4942345889268718,-0.45552137381141816,-0.47516423152033155,-0.37212161045436076,-0.06230708769373447,1.957411539096312,-0.011011324088480146,0.00605609472610121,0.8268056366116824,-0.2789525742665132,2.1813605265415217,14150.0,-3.0466830466830466
DB하이텍,000990,2019,27600.0,1.0251828526587337,1225401028800.0,-0.4951315775651769,-0.4264122900803635,-0.4455398123462202,-0.3677728845983089,-0.06227914588778987,1.628972450089753,-0.03554805228454,-0.017920442623340353,1.211085007784624,-0.5893285765132386,1.165925408045341,13000.0,-0.8127208480565373
DB하이텍,000990,2020,51000.0,1.805541331840267,2264327988000.0,-0.47312545630542524,-0.18682213937091374,-0.4562375192702049,-0.31752094137282166,-0.06224370475726118,1.4408731899998861,-0.044696610152592034,-0.07084230773892905,2.3828928512590997,-0.6906097838887035,0.6604859957426032,20900.0,6.0769230769230775
DB하이텍,000990,2021,72700.0,2.878224574651705,3227777347600.0,-0.4730656570628716,0.12889946109667905,-0.41079512319139827,-0.2450421771052919,-0.06221893111783865,1.1368612717399926,-0.0573242164442938,-0.11586514750910981,2.9488301170894378,-0.718030977488275,0.9390356169488302,57700.0,17.607655502392344
DB하이텍,000990,2022,37150.0,2.878224574651705,1649407544200.0,-0.5231774223228495,-0.29878015372112393,-0.47662716580053455,-0.31703774961103814,-0.0622804011657137,0.9087500359544333,-0.06661322848052494,-0.1356649838430614,2.9488301170894378,-0.5696346865463475,5.611196457594371,73400.0,2.7209705372616977
강원랜드,035250,2014,30400.0,0.5242119771347866,6503791200000.0,-0.35292897877254276,0.15353022425372517,-0.2988806507558668,-0.022773966684867118,0.22536742180393224,-0.5285205290376755,-0.081627735114814,-0.17675187471904819,1.4826030525781375,-0.7232410669030754,0.00735372260394403,30850.0,0.14802631578947345
강원랜드,035250,2015,38400.0,0.7623107723700693,8215315200000.0,-0.3555003462023507,0.23190083429887223,-0.2892801445420344,0.00863349783106239,0.10038035700662497,-0.5274533721467112,-0.08161453832379538,-0.17671874754654374,1.827738654956149,-0.739280356333101,-0.12156252753535841,34750.0,1.2641815235008114
강원랜드,035250,2016,35750.0,0.6329391726468523,7648372875000.0,-0.35567974393001167,0.19159594913279662,-0.283519840813735,0.016364566019598906,0.08080107657013337,-0.5274133791395322,-0.08161402677286962,-0.17671666321635598,1.6857962985286727,-0.7280543103986722,-0.007707494547967699,41100.0,1.827338129496403
강원랜드,035250,2017,34800.0,0.4141084880086445,7445129400000.0,-0.36985216441523217,-0.0211242781326026,-0.241734780435436,-0.007311830307794081,0.18605560730117035,-0.5282790035802953,-0.08162371701664893,-0.17674826903312243,1.4319254259698737,-0.727680689020098,-0.1258548907362018,37400.0,-0.9002433090024331
강원랜드,035250,2018,32000.0,-0.21485769362444307,6846096000000.0,-0.3242253423467798,-0.22712702453698935,-0.22555106996069,-0.04258482891799202,0.23603790341693195,-0.5284631251845147,-0.08162474858878936,-0.17674267121729054,0.534626192528478,-0.7221286123251562,-0.24261473899214542,28500.0,-2.379679144385026
강원랜드,035250,2019,29600.0,-0.10888308534053122,6332638800000.0,-0.3433610999639551,-0.22264870396298103,-0.24639788345358316,-0.04741674653582732,0.1636197613080608,-0.5282954773415922,-0.08162389016960352,-0.17673844880261108,0.6695748588440565,-0.7118131861729005,-0.029583093916708467,31650.0,1.1052631578947358
강원랜드,035250,2022,23200.0,-0.8919941517502179,4963419600000.0,-0.01470446288896894,-0.3278892374521786,-0.30500668805421693,-0.05369823943901319,0.08416397148714896,-0.5277398443344802,-0.08159156743910226,-0.17660359751847904,-0.5778876203120109,-0.7585187121844893,-0.41059795744409183,28000.0,1.023622047244095
녹십자,006280,2014,137000.0,-0.022176587653694336,1601055706000.0,-0.27578795587830474,-0.21593122310196838,-0.014065633078839923,-0.2967436956161298,-0.0622820712833199,1.958414692581961,0.03834787270388733,0.08989830769127997,0.4034954690622562,-0.48285717976075854,-0.3802832458084087,127500.0,-1.1192527634795812
녹십자,006280,2015,183000.0,0.04388550582199107,2138636454000.0,-0.32356755067868936,0.11322533908764956,0.1692583189091019,-0.2199162054925482,-0.06227997005966986,2.424597494752263,0.08024393452458782,0.13176876471414112,0.46577089190575144,-0.5285685530754262,-0.5408573177535227,173000.0,3.568627450980393
