회사명,거래소코드,회계년도,거래월(*),종가,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)
(주)BNK금융지주,138930,2017/12,09,10000,325935246
(주)BNK금융지주,138930,2017/12,09,10000,325935246
(주)BNK금융지주,138930,2017/12,10,9940,325935246
(주)BNK금융지주,138930,2017/12,10,9940,325935246
(주)BNK금융지주,138930,2017/12,11,9510,325935246
(주)BNK금융지주,138930,2017/12,11,9510,325935246
(주)BNK금융지주,138930,2017/12,12,9420,325935246
(주)BNK금융지주,138930,2017/12,12,9420,325935246
(주)BNK금융지주,138930,2018/12,01,10600,325935246
(주)BNK금융지주,138930,2018/12,01,10600,325935246
(주)BNK금융지주,138930,2018/12,02,11200,325935246
(주)BNK금융지주,138930,2018/12,02,11200,325935246
(주)BNK금융지주,138930,2018/12,03,10400,325935246
(주)BNK금융지주,138930,2018/12,03,10400,325935246
(주)BNK금융지주,138930,2018/12,04,10450,325935246
(주)BNK금융지주,138930,2018/12,04,10450,325935246
(주)BNK금융지주,138930,2018/12,05,9530,325935246
(주)BNK금융지주,138930,2018/12,05,9530,325935246
(주)BNK금융지주,138930,2018/12,06,9350,325935246
(주)BNK금융지주,138930,2018/12,06,9350,325935246
(주)BNK금융지주,138930,2018/12,07,8970,325935246
(주)BNK금융지주,138930,2018/12,07,8970,325935246
(주)BNK금융지주,138930,2018/12,08,8340,325935246
(주)BNK금융지주,138930,2018/12,08,8340,325935246
(주)BNK금융지주,138930,2018/12,09,8600,325935246
(주)BNK금융지주,138930,2018/12,09,8600,325935246
(주)BNK금융지주,138930,2018/12,10,7590,325935246
(주)BNK금융지주,138930,2018/12,10,7590,325935246
(주)BNK금융지주,138930,2018/12,11,7670,325935246
(주)BNK금융지주,138930,2018/12,11,7670,325935246
(주)BNK금융지주,138930,2018/12,12,7330,325935246
(주)BNK금융지주,138930,2018/12,12,7330,325935246
(주)BNK금융지주,138930,2019/12,01,7350,325935246
(주)BNK금융지주,138930,2019/12,01,7350,325935246
(주)BNK금융지주,138930,2019/12,02,7090,325935246
(주)BNK금융지주,138930,2019/12,02,7090,325935246
(주)BNK금융지주,138930,2019/12,03,6680,325935246
(주)BNK금융지주,138930,2019/12,03,6680,325935246
(주)BNK금융지주,138930,2019/12,04,7010,325935246
(주)BNK금융지주,138930,2019/12,04,7010,325935246
(주)BNK금융지주,138930,2019/12,05,6900,325935246
(주)BNK금융지주,138930,2019/12,05,6900,325935246
(주)BNK금융지주,138930,2019/12,06,7490,325935246
(주)BNK금융지주,138930,2019/12,06,7490,325935246
(주)BNK금융지주,138930,2019/12,07,7000,325935246
(주)BNK금융지주,138930,2019/12,07,7000,325935246
(주)BNK금융지주,138930,2019/12,08,6700,325935246
(주)BNK금융지주,138930,2019/12,08,6700,325935246
(주)BNK금융지주,138930,2019/12,09,7190,325935246
(주)BNK금융지주,138930,2019/12,09,7190,325935246
(주)BNK금융지주,138930,2019/12,10,6950,325935246
(주)BNK금융지주,138930,2019/12,10,6950,325935246
(주)BNK금융지주,138930,2019/12,11,6960,325935246
(주)BNK금융지주,138930,2019/12,11,6960,325935246
(주)BNK금융지주,138930,2019/12,12,7660,325935246
(주)BNK금융지주,138930,2019/12,12,7660,325935246
(주)BNK금융지주,138930,2020/12,01,6750,325935246
(주)BNK금융지주,138930,2020/12,01,6750,325935246
(주)BNK금융지주,138930,2020/12,02,6170,325935246
(주)BNK금융지주,138930,2020/12,02,6170,325935246
(주)BNK금융지주,138930,2020/12,03,4435,325935246
(주)BNK금융지주,138930,2020/12,03,4435,325935246
(주)BNK금융지주,138930,2020/12,04,5050,325935246
(주)BNK금융지주,138930,2020/12,04,5050,325935246
(주)BNK금융지주,138930,2020/12,05,5080,325935246
(주)BNK금융지주,138930,2020/12,05,5080,325935246
(주)BNK금융지주,138930,2020/12,06,5000,325935246
(주)BNK금융지주,138930,2020/12,06,5000,325935246
(주)BNK금융지주,138930,2020/12,07,5140,325935246
(주)BNK금융지주,138930,2020/12,07,5140,325935246
(주)BNK금융지주,138930,2020/12,08,5080,325935246
(주)BNK금융지주,138930,2020/12,08,5080,325935246
(주)BNK금융지주,138930,2020/12,09,5060,325935246
(주)BNK금융지주,138930,2020/12,09,5060,325935246
(주)BNK금융지주,138930,2020/12,10,5510,325935246
(주)BNK금융지주,138930,2020/12,10,5510,325935246
(주)BNK금융지주,138930,2020/12,11,5630,325935246
(주)BNK금융지주,138930,2020/12,11,5630,325935246
(주)BNK금융지주,138930,2020/12,12,5680,325935246
(주)BNK금융지주,138930,2020/12,12,5680,325935246
(주)BNK금융지주,138930,2021/12,01,5510,325935246
(주)BNK금융지주,138930,2021/12,01,5510,325935246
(주)BNK금융지주,138930,2021/12,02,5900,325935246
(주)BNK금융지주,138930,2021/12,02,5900,325935246
(주)BNK금융지주,138930,2021/12,03,6790,325935246
(주)BNK금융지주,138930,2021/12,03,6790,325935246
(주)BNK금융지주,138930,2021/12,04,7670,325935246
(주)BNK금융지주,138930,2021/12,04,7670,325935246
(주)BNK금융지주,138930,2021/12,05,7950,325935246
(주)BNK금융지주,138930,2021/12,05,7950,325935246
(주)BNK금융지주,138930,2021/12,06,7730,325935246
(주)BNK금융지주,138930,2021/12,06,7730,325935246
(주)BNK금융지주,138930,2021/12,07,7750,325935246
(주)BNK금융지주,138930,2021/12,07,7750,325935246
(주)BNK금융지주,138930,2021/12,08,7760,325935246
(주)BNK금융지주,138930,2021/12,08,7760,325935246
(주)BNK금융지주,138930,2021/12,09,8840,325935246
(주)BNK금융지주,138930,2021/12,09,8840,325935246
(주)BNK금융지주,138930,2021/12,10,8800,325935246
(주)BNK금융지주,138930,2021/12,10,8800,325935246
(주)BNK금융지주,138930,2021/12,11,8000,325935246
(주)BNK금융지주,138930,2021/12,11,8000,325935246
(주)BNK금융지주,138930,2021/12,12,8400,325935246
(주)BNK금융지주,138930,2021/12,12,8400,325935246
(주)BNK금융지주,138930,2022/12,01,8040,325935246
(주)BNK금융지주,138930,2022/12,01,8040,325935246
(주)BNK금융지주,138930,2022/12,02,7880,325935246
(주)BNK금융지주,138930,2022/12,02,7880,325935246
(주)BNK금융지주,138930,2022/12,03,7960,325935246
(주)BNK금융지주,138930,2022/12,03,7960,325935246
(주)BNK금융지주,138930,2022/12,04,7880,325935246
(주)BNK금융지주,138930,2022/12,04,7880,325935246
(주)BNK금융지주,138930,2022/12,05,7890,325935246
(주)BNK금융지주,138930,2022/12,05,7890,325935246
(주)BNK금융지주,138930,2022/12,06,6710,325935246
(주)BNK금융지주,138930,2022/12,06,6710,325935246
(주)BNK금융지주,138930,2022/12,07,6790,325935246
(주)BNK금융지주,138930,2022/12,07,6790,325935246
(주)BNK금융지주,138930,2022/12,08,6710,325935246
(주)BNK금융지주,138930,2022/12,08,6710,325935246
(주)BNK금융지주,138930,2022/12,09,6020,325935246
(주)BNK금융지주,138930,2022/12,09,6020,325935246
(주)BNK금융지주,138930,2022/12,10,6410,325935246
(주)BNK금융지주,138930,2022/12,10,6410,325935246
(주)BNK금융지주,138930,2022/12,11,7390,325935246
(주)BNK금융지주,138930,2022/12,11,7390,325935246
(주)BNK금융지주,138930,2022/12,12,6500,325935246
(주)BNK금융지주,138930,2022/12,12,6500,325935246
(주)DB하이텍,000990,2013/12,01,6550,143335
(주)DB하이텍,000990,2013/12,01,6550,44511167
(주)DB하이텍,000990,2013/12,01,6550,44367832
(주)DB하이텍,000990,2013/12,02,6890,143335
(주)DB하이텍,000990,2013/12,02,6890,44367832
(주)DB하이텍,000990,2013/12,02,6890,44511167
(주)DB하이텍,000990,2013/12,03,6250,44367832
(주)DB하이텍,000990,2013/12,03,6250,44511167
(주)DB하이텍,000990,2013/12,03,6250,143335
(주)DB하이텍,000990,2013/12,04,5970,44367832
(주)DB하이텍,000990,2013/12,04,5970,44511167
(주)DB하이텍,000990,2013/12,04,5970,143335
(주)DB하이텍,000990,2013/12,05,8490,44367832
(주)DB하이텍,000990,2013/12,05,8490,44511167
(주)DB하이텍,000990,2013/12,05,8490,143335
(주)DB하이텍,000990,2013/12,06,6870,143335
(주)DB하이텍,000990,2013/12,06,6870,44511167
(주)DB하이텍,000990,2013/12,06,6870,44367832
(주)DB하이텍,000990,2013/12,07,7270,44511167
(주)DB하이텍,000990,2013/12,07,7270,44367832
(주)DB하이텍,000990,2013/12,07,7270,143335
(주)DB하이텍,000990,2013/12,08,6330,44367832
(주)DB하이텍,000990,2013/12,08,6330,44511167
(주)DB하이텍,000990,2013/12,08,6330,143335
(주)DB하이텍,000990,2013/12,09,6580,143335
(주)DB하이텍,000990,2013/12,09,6580,44367832
(주)DB하이텍,000990,2013/12,09,6580,44511167
(주)DB하이텍,000990,2013/12,10,6050,44511167
(주)DB하이텍,000990,2013/12,10,6050,143335
(주)DB하이텍,000990,2013/12,10,6050,44367832
(주)DB하이텍,000990,2013/12,11,5670,143335
(주)DB하이텍,000990,2013/12,11,5670,44367832
(주)DB하이텍,000990,2013/12,11,5670,44511167
(주)DB하이텍,000990,2013/12,12,7530,44367832
(주)DB하이텍,000990,2013/12,12,7530,44511167
(주)DB하이텍,000990,2013/12,12,7530,143335
(주)DB하이텍,000990,2014/12,01,7450,44367832
(주)DB하이텍,000990,2014/12,01,7450,44511167
(주)DB하이텍,000990,2014/12,01,7450,143335
(주)DB하이텍,000990,2014/12,02,7210,143335
(주)DB하이텍,000990,2014/12,02,7210,44511167
(주)DB하이텍,000990,2014/12,02,7210,44367832
(주)DB하이텍,000990,2014/12,03,6700,143335
(주)DB하이텍,000990,2014/12,03,6700,44511167
(주)DB하이텍,000990,2014/12,03,6700,44367832
(주)DB하이텍,000990,2014/12,04,6960,44367832
(주)DB하이텍,000990,2014/12,04,6960,44511167
(주)DB하이텍,000990,2014/12,04,6960,143335
(주)DB하이텍,000990,2014/12,05,6170,44511167
(주)DB하이텍,000990,2014/12,05,6170,143335
(주)DB하이텍,000990,2014/12,05,6170,44367832
(주)DB하이텍,000990,2014/12,06,3915,44511167
(주)DB하이텍,000990,2014/12,06,3915,143335
(주)DB하이텍,000990,2014/12,06,3915,44367832
(주)DB하이텍,000990,2014/12,07,4040,44367832
(주)DB하이텍,000990,2014/12,07,4040,44511167
(주)DB하이텍,000990,2014/12,07,4040,143335
