종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"068400","AJ렌터카","16300","-100","-0.61","16200","16700","16200","51315","847259000","360984690000","22146300"
"006840","AK홀딩스","80200","300","0.38","80700","81500","78900","47839","3823176800","1062454392200","13247561"
"027410","BGF리테일","76500","1000","1.32","74700","76500","74600","14318","1073538900","1884966120000","24640080"
"138930","BS금융지주","14500","-400","-2.68","15000","15000","14250","705002","10256926000","3398508535500","234379899"
"001460","BYC","261500","1500","0.58","260000","267500","254500","117","30448000","163336822500","624615"
"001465","BYC우","174500","4000","2.35","170500","174500","170500","12","2050000","37584682500","215385"
"001040","CJ","156000","3000","1.96","155000","157500","154500","64320","10063549000","4537170612000","29084427"
"079160","CJ CGV","54000","0","0.00","53500","54600","53500","79926","4325202300","1142710902000","21161313"
"000120","CJ대한통운","196000","6000","3.16","190500","196000","190000","41450","8043953500","4471219424000","22812344"
"011150","CJ씨푸드","2475","-25","-1.00","2500","2500","2470","56001","138808210","88928663175","35930773"
"011155","CJ씨푸드1우","6280","-10","-0.16","5950","6280","5950","3","18500","1256000000","200000"
"001045","CJ우","76100","1700","2.28","74700","76600","73700","20909","1574280600","172002970300","2260223"
"097950","CJ제일제당","306500","-6500","-2.08","312000","314000","302000","45650","13970844500","4026888337000","13138298"
"097955","CJ제일제당 우","162500","-7500","-4.41","167000","168000","162000","2923","480249500","215707862500","1327433"
"037560","CJ헬로비전","9740","-70","-0.71","9810","9900","9670","112306","1094524480","754332465100","77446865"
"000590","CS홀딩스","83500","700","0.85","83000","83500","81600","1847","153114300","96399247000","1154482"
"139130","DGB금융지주","11300","-350","-3.00","11700","11700","11250","550679","6251331150","1514800640200","134053154"
"004840","DRB동일","12700","-200","-1.55","12750","12950","12500","35711","450767300","222250000000","17500000"
"155660","DSR","3665","35","0.96","3630","3665","3595","5009","18170895","58640000000","16000000"
"069730","DSR제강","3160","-10","-0.32","3125","3170","3125","7503","23701405","45504000000","14400000"
"017940","E1","69100","-2000","-2.81","70600","71000","69000","6472","450956100","474026000000","6860000"
"007700","F&F","15000","-200","-1.32","15200","15550","14600","9906","147474750","231000000000","15400000"
"114090","GKL","32250","-350","-1.07","32350","33050","32150","226192","7368728300","1994845357500","61855670"
"078930","GS","40000","-200","-0.50","40000","40300","39750","199237","7969742650","3716615120000","92915378"
"006360","GS건설","23250","-50","-0.21","23200","23600","23200","260358","6078397400","1650750000000","71000000"
"001250","GS글로벌","8550","-70","-0.81","8620","8650","8480","14514","124098870","192663682200","22533764"
"007070","GS리테일","25650","350","1.38","25100","25800","25100","99776","2558634700","1975050000000","77000000"
"078935","GS우","28550","-450","-1.55","29000","29000","28400","338","9692450","50956782300","1784826"
"035000","GⅡR","7690","-100","-1.28","7790","7800","7690","1107","8568360","127403375210","16567409"
"001500","HMC투자증권","10150","-100","-0.98","10300","10300","10100","42321","430579150","297771676650","29337111"
"011420","IB월드와이드","1680","0","0.00","1655","1700","1650","46229","77484805","32965672320","19622424"
"003560","IHQ","3150","130","4.30","3040","3185","3000","1492841","4646378140","137554789050","43668187"
"175330","JB금융지주","6090","40","0.66","6050","6190","5860","576416","3452476090","770409037230","126503947"
"001060","JW중외제약","14400","-150","-1.03","14550","14700","14400","12641","182836200","212702083200","14770978"
"001067","JW중외제약2우B","15800","-500","-3.07","15850","16200","15800","78","1240500","1188049400","75193"
"001065","JW중외제약우","11350","0","0.00","0","0","0","0","0","1624377950","143117"
"096760","JW홀딩스","2375","-25","-1.04","2445","2445","2375","13514","32337245","128125243625","53947471"
"105560","KB금융","36150","-1200","-3.21","37650","37650","36050","1110792","40483642150","13966613701950","386351693"
"002380","KCC","520000","-10000","-1.89","535000","536000","520000","38238","20134242475","5470400000000","10520000"
"009070","KCTC","2945","-5","-0.17","2950","2960","2915","27867","81914505","88350000000","30000000"
"009440","KC그린홀딩스","10550","300","2.93","10250","10550","10100","453422","4686810000","236689039000","22434980"
"119650","KC코트렐","6870","30","0.44","6770","6900","6750","14466","98262010","68700000000","10000000"
"092220","KEC","1165","5","0.43","1165","1200","1160","1037293","1219165020","68790202360","59047384"
"109070","KGP","595","-9","-1.49","587","629","587","24886","14920482","11826851890","19877062"
"001390","KG케미칼","16600","0","0.00","16800","16850","16500","24484","406878900","180249323800","10858393"
"001940","KISCO홀딩스","49200","800","1.65","48300","49250","48300","42","2057850","181807579200","3695276"
"083420","KPX그린케미칼","5950","-50","-0.83","6000","6240","5950","3363","20162620","119000000000","20000000"
"025000","KPX케미칼","58700","-200","-0.34","59100","59100","58600","214","12594400","284108000000","4840000"
"092230","KPX홀딩스","74700","-1000","-1.32","75700","75700","74400","22","1644900","315581056200","4224646"
"000040","KR모터스","1035","52","5.29","988","1035","980","563923","567968136","123518327265","119341379"
"044450","KSS해운","12550","50","0.40","12400","12600","12000","53495","654858100","145491397000","11592940"
"030200","KT","31250","50","0.16","31150","31550","31100","659905","20666397350","8159744000000","261111808"
"033780","KT&G","76100","-400","-0.52","77100","77400","75100","475718","36176833100","10447959021700","137292497"
"030210","KTB투자증권","1815","-25","-1.36","1840","1840","1790","255418","463894395","109470076980","60314092"
"058850","KTcs","2950","-40","-1.34","2985","3015","2915","55529","164490900","125920750000","42685000"
"093050","LF","29900","-400","-1.32","30100","30400","29100","108360","3225643750","874276000000","29240000"
"003550","LG","61200","-1700","-2.70","63700","63700","60700","305009","18740688500","10560496417200","172557131"
"034220","LG디스플레이","33650","-300","-0.88","33950","34150","33400","702433","23602856350","12040498305000","357815700"
"001120","LG상사","28700","-150","-0.52","28650","29100","28500","106925","3081591200","1112412000000","38760000"
"068870","LG생명과학","36300","50","0.14","36250","36700","36000","93316","3401329250","601744737000","16576990"
"068875","LG생명과학우","22900","600","2.69","22600","23400","22600","76","1744350","5409346400","236216"
"051900","LG생활건강","623000","-7000","-1.11","624000","631000","617000","37080","23063979000","9730136731000","15618197"
"051905","LG생활건강우","272500","-7500","-2.68","280000","280000","272500","3883","1069879500","572167432500","2099697"
"003555","LG우","41200","300","0.73","41050","41500","38650","1753","69589300","136564692400","3314677"
"032640","LG유플러스","11500","-50","-0.43","11500","11650","11500","937627","10841041900","5021030651500","436611361"
"011070","LG이노텍","112500","2500","2.27","111000","113000","108000","190696","21241910500","2662549537500","23667107"
"066570","LG전자","59100","-400","-0.67","59600","59900","59000","373898","22217488800","9671585807400","163647814"
"066575","LG전자우","26950","-700","-2.53","27650","27650","26900","72296","1963424350","463162484400","17185992"
"108670","LG하우시스","162000","0","0.00","162500","168000","160000","79078","13037624500","1452762540000","8967670"
"108675","LG하우시스우","78900","-100","-0.13","77200","79700","77200","2380","187301400","81450837000","1032330"
"051910","LG화학","181000","-2500","-1.36","183000","185000","179000","173787","31377329000","11995069100000","66271100"
"051915","LG화학우","141000","-500","-0.35","141000","143000","136500","15358","2140862000","1075677861000","7628921"
"002550","LIG손해보험","27400","200","0.74","27300","27450","26900","78148","2118294600","1644000000000","60000000"
"006260","LS","54300","-1400","-2.51","55100","56000","54200","63161","3442020400","1748460000000","32200000"
"000680","LS네트웍스","4090","25","0.62","4035","4140","4035","22588","91633850","317531910760","77636164"
"000687","LS네트웍스전환상환2우B","4590","-60","-1.29","4500","4640","4400","1744","7831420","5334355710","1162169"
"010120","LS산전","59800","-900","-1.48","60000","60500","59300","44238","2643917800","1794000000000","30000000"
"023150","MH에탄올","7440","90","1.22","7350","7450","7260","8337","61343840","54896233440","7378526"
"035420","NAVER","712000","-11000","-1.52","717000","722000","708000","85390","60881620000","23469427448000","32962679"
"181710","NHN엔터테인먼트","87500","-300","-0.34","88400","89000","86300","182320","15934401500","1326939687500","15165025"
"016420","NH농협증권","7240","0","0.00","0","0","0","0","0","869705209960","120125029"
"034310","NICE","15250","600","4.10","14800","15350","14600","27535","415543100","577705075000","37882300"
"008260","NI스틸","2330","-55","-2.31","2355","2385","2330","39537","92909805","66234560500","28426850"
"004250","NPC","5520","30","0.55","5390","5530","5370","6223","33834410","202694400000","36720000"
"004255","NPC우","2600","75","2.97","2510","2600","2470","10408","26446120","13728000000","5280000"
"010060","OCI","78600","-500","-0.63","79100","79700","78100","107384","8455149200","1874560560600","23849371"
"005490","POSCO","275500","-3500","-1.25","282000","283000","274500","152256","42145057000","24019973042500","87186835"
"100840","S&TC","15350","100","0.66","15250","15450","15200","3383","51696800","108748794200","7084612"
"064960","S&T모티브","42000","200","0.48","41350","42300","41250","23966","999626100","604942212000","14403386"
"003570","S&T중공업","8520","-20","-0.23","8520","8570","8460","96659","824887320","276673700280","32473439"
"036530","S&T홀딩스","19600","100","0.51","19750","19750","19300","2378","46241700","292499090800","14923423"
"010950","S-Oil","48400","-250","-0.51","48950","49800","47850","323466","15716404300","5449007132800","112582792"
"010955","S-Oil우","31300","100","0.32","31600","31600","30850","3270","101688550","125886315100","4021927"
"950100","SBI모기지","18000","0","0.00","18000","18000","18000","15046","270828000","427338000000","23741000"
"034120","SBS","29300","100","0.34","29100","29750","28950","72317","2124429850","534800652600","18252582"
"101060","SBS미디어홀딩스","4005","-100","-2.44","4120","4135","3960","643488","2582361295","560284240950","139896190"
