종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"068400","AJ렌터카","12350","-400","-3.14","12750","12750","12250","223489","2784949650","273506805000","22146300"
"006840","AK홀딩스","40950","-200","-0.49","41400","41850","40250","13472","552774400","476967622950","11647561"
"138930","BS금융지주","16000","-100","-0.62","16050","16200","15750","852000","13553499500","3094078384000","193379899"
"001460","BYC","188000","-500","-0.27","187000","188500","185500","175","32568000","117427620000","624615"
"001465","BYC우","69600","-100","-0.14","69700","69700","68500","7","484100","14990796000","215385"
"001040","CJ","116500","7000","6.39","110000","117500","108500","477710","54800099000","3383226638000","29040572"
"079160","CJ CGV","43500","550","1.28","43500","43750","43000","128738","5518813200","920517115500","21161313"
"000120","CJ대한통운","100000","700","0.70","99700","101000","97900","89156","8904454000","2281234400000","22812344"
"011150","CJ씨푸드","2495","20","0.81","2495","2500","2460","76010","188676200","89647278635","35930773"
"011155","CJ씨푸드1우","5700","140","2.52","5600","6180","5600","2220","13041800","1140000000","200000"
"001045","CJ우","40600","700","1.75","40500","40700","39500","5612","225175950","91765053800","2260223"
"097950","CJ제일제당","277000","9000","3.36","268000","277500","267000","126438","34647456500","3628699446000","13099998"
"097955","CJ제일제당 우","94000","1500","1.62","92900","94800","91700","3055","284870500","124778702000","1327433"
"037560","CJ헬로비전","19200","150","0.79","19050","19350","18800","89630","1707016000","1486979808000","77446865"
"000590","CS홀딩스","36150","550","1.54","35600","36200","35500","130","4645500","41734524300","1154482"
"139130","DGB금융지주","16500","-50","-0.30","16550","16600","16400","184143","3033758000","2211877041000","134053154"
"004840","DRB동일","7760","0","0.00","7760","7850","7700","6534","50510560","131683017360","16969461"
"155660","DSR","3870","35","0.91","3850","3950","3815","2800","10892350","61920000000","16000000"
"069730","DSR제강","3065","-70","-2.23","3150","3225","3055","23780","74137850","44136000000","14400000"
"017940","E1","66800","-1400","-2.05","68200","68200","66700","3271","219462900","458248000000","6860000"
"007700","F&F","7060","-70","-0.98","7000","7070","7000","240","1685800","108724000000","15400000"
"114090","GKL","40400","1100","2.80","39500","40400","39000","51355","2055625500","2498969068000","61855670"
"078930","GS","57300","500","0.88","57300","57500","56700","247692","14155624900","5324051159400","92915378"
