회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),유형자산증가율(IFRS),비유동자산증가율(IFRS),유동자산증가율(IFRS),재고자산증가율(IFRS),유동비율(IFRS),당좌비율(IFRS),현금비율(IFRS),순운전자본비율(IFRS),부채비율(IFRS),자기자본배율(IFRS),비유동비율(IFRS),유동자산구성비율(IFRS),자기자본구성비율(IFRS),매출액총이익률(IFRS),매출액순이익률(IFRS),총자본사업이익률(IFRS),총자본순이익률(IFRS),자기자본순이익률(IFRS),1주당순이익(IFRS)(원),1주당매출액(IFRS)(원),총자본회전률(IFRS),자기자본회전률(IFRS),비유동자산회전률(IFRS),재고자산회전률(IFRS),매출채권회전률(IFRS),매입채무회전률(IFRS),매입채무회전기간(IFRS),재고자산회전기간(IFRS),매출채권회전기간(IFRS),1회전기간(IFRS),운전자본회전률(IFRS),순운전자본회전률(IFRS),유형자산회전율(IFRS),유동자산회전률(IFRS),당좌자산회전률(IFRS),부가가치(IFRS)(백만원),총자본투자효율(IFRS),설비투자효율(IFRS),기계투자효율(IFRS),부가가치율(IFRS),노동소득분배율(IFRS),자본분배율(IFRS),이윤분배율(IFRS),상장폐지일,소속코드,상장일
(주)SIMPAC,009160,2018/12,32.35,83.19,83.71,774.43,122.03,62.74,118.93,202.86,131.38,81.43,46.5,10.39,52.83,1256.68,86.38,43.48,65.43,9.41,23.2,2.18,12.84,19.65,1513,9244.1,0.55,0.85,0.94,3.89,4.35,8.67,42.1,93.79,83.92,0.01,0,0.75,2.37,1.35,2.07,94742.34,15.08,60.73,262.25,35.24,24.97,75.03,65.84,,1,1989/07/29
(주)SIMPAC,009160,2019/12,45.79,-3.13,1.97,-81.55,-2.12,8.24,-17.9,-32.66,125.92,86.65,57.53,7.59,45.2,1281.43,91.69,36.85,68.87,8.89,2.94,2.42,1.86,2.77,190,5990.73,0.63,0.94,1.06,4.51,7.75,12.57,29.03,80.93,47.13,0.01,0,0.89,2.53,1.58,2.42,50726.3,8.33,33.43,166.94,12.94,55.29,44.71,22.68,,1,1989/07/29
(주)SIMPAC,009160,2020/12,-30.58,7.87,3.58,128.57,-5.48,3.22,15.85,42.52,125.85,77.57,39.29,8.13,51.22,1327.27,91.37,39.58,66.13,10.19,9.67,1.84,4.16,6.16,452,4158.48,0.43,0.64,0.7,3.21,6.56,8.34,43.77,113.78,55.68,0.01,0.7,0.63,1.83,1.12,1.73,68798.87,10.48,47.57,289.66,25.29,38.84,61.16,38.23,,1,1989/07/29
(주)SIMPAC,009160,2021/12,80.4,21.34,13.1,148.33,-4.25,-4.27,60.44,34.01,144.38,98.12,63.82,16.09,62.24,1501.11,77.34,52.33,61.64,24.28,13.31,12.11,8.99,14.12,1165,7502.04,0.68,1.06,1.26,4.21,8.46,12.78,28.55,86.73,43.13,0.01,0,0.84,3.47,1.45,2.21,130013.33,16.32,95.34,729.88,26.49,27.25,72.75,50.24,,1,1989/07/29
(주)SIMPAC,009160,2022/12,2.77,-1.6,5.29,-27.24,0.37,3.31,-6.08,6.61,152.08,96.77,62.76,17.1,51.63,1580.53,75.89,49.95,65.95,26.69,9.42,12.03,6.01,9.43,862,7710.2,0.64,1,1.31,3.66,6.72,20.14,18.12,99.85,54.28,0.01,0,0.74,3.64,1.25,1.89,108542.68,13.84,81.35,637.49,21.52,36.59,63.41,43.78,,1,1989/07/29
(주)SNT에너지,100840,2018/12,-24.21,-6.42,-1.09,-60.16,-0.94,-1.48,-10.06,144.89,492.86,474.82,188.8,44.12,21.5,6338.82,54.25,55.35,82.31,14.88,1.31,-0.22,0.63,0.78,257,19119.3,0.48,0.6,1.1,34.81,3.67,9.3,39.25,10.49,99.58,0.01,0.03,0.68,1.2,0.85,0.87,16995.59,6.05,14.72,1090.95,12.18,81.17,18.83,10.74,,1,2008/02/22
(주)SNT에너지,100840,2019/12,45.38,17.94,6.17,698.64,0.47,2.95,30.03,77.87,310.45,294.91,31.39,41.37,34.96,6542.01,52.6,61.02,74.1,16.04,7.19,5.14,4.76,6.12,2027,27018.88,0.66,0.85,1.59,25.65,3.38,11.8,30.92,14.23,107.89,0.01,0.06,0.89,1.75,1.13,1.19,34093.55,10.29,29.51,2369.47,16.81,41.64,58.36,42.76,,1,2008/02/22
(주)SNT에너지,100840,2020/12,13.4,0.2,-3.66,-35.47,0.38,2.92,-1.53,-41.13,257.09,249.39,82.24,36.64,40.37,6302.6,56.2,59.97,71.24,16.97,4.09,6.9,2.84,3.9,1360,30638.08,0.69,0.95,1.75,28.6,2.89,8.63,42.29,12.76,126.27,0.01,0.04,0.85,1.97,1.15,1.19,29746.15,8.96,25.49,1491.64,12.93,50.73,49.27,31.62,,1,2008/02/22
(주)SNT에너지,100840,2021/12,-28.06,-2.99,3.77,37.53,-0.47,0.17,-5.1,-59.2,336.67,332.34,148.12,41.24,31.22,6540.4,54.24,58.66,76.21,17.17,7.82,4.23,3.96,5.37,2025,22042.39,0.51,0.69,1.24,39.43,2.64,6.31,57.84,9.26,138.48,0.01,0.03,0.63,1.42,0.85,0.87,33704.72,10.46,29.05,2034.8,20.37,45.73,54.27,38.39,,1,2008/02/22
(주)SNT에너지,100840,2022/12,10.4,19.68,0.66,-49.67,-1.08,53.46,-4.12,278.99,260.13,246.89,98.92,28.93,56.02,6583.31,82.7,46.99,64.09,10.44,3.56,1.42,1.84,2.64,988,24333.95,0.52,0.74,1.08,31.36,4.66,6.88,53.08,11.64,78.28,0.03,0.03,0.74,1.58,0.99,1.02,23101.75,5.99,20.1,2376.03,12.65,68.61,31.39,28.19,,1,2008/02/22
(주)SNT홀딩스,036530,2018/12,-1.7,-0.62,-0.6,49.03,-85.48,1.85,-8.83,0,38653.87,38653.87,1554.05,21.13,0.05,5059.58,78.86,21.18,99.95,0,85.27,1.66,1.47,1.47,386,447.26,0.02,0.02,0.02,0,12.63,271,1.35,0,28.9,0.04,0,0.08,640.14,0.08,0.08,6864.34,1.62,237659.39,0,94.13,21.26,78.74,90.59,,1,2002/10/22
(주)SNT홀딩스,036530,2019/12,51.07,-1.33,-1.33,48.67,1965.67,15.66,-64.56,0,13604.82,13604.82,853.08,7.55,0.06,4992.13,92.44,7.61,99.94,0,83.92,2.28,2.2,2.2,602,675.66,0.03,0.03,0.03,0,18.9,0,0,0,19.32,0.05,0.05,0.18,352.22,0.18,0.18,10601.11,2.54,17768.37,0,96.23,14.78,85.22,87.2,,1,2002/10/22
(주)SNT홀딩스,036530,2020/12,129.76,1.63,1.62,148.28,-23.75,4.18,-29.43,0,8808.28,8808.28,957.28,5.22,0.07,5072.88,94.78,5.28,99.93,0,90.68,5.53,5.46,5.46,1543,1552.37,0.06,0.06,0.06,0,36.2,0,0,0,10.08,0.1,0.03,0.93,481.39,0.94,0.94,24799.93,5.85,54516.8,0,97.99,6.98,93.02,92.55,,1,2002/10/22
(주)SNT홀딩스,036530,2021/12,-25.34,0.41,0.32,-27.93,-16.57,0.18,4.5,0,7586.68,7586.68,1150.64,5.42,0.16,5088.86,94.66,5.5,99.84,0,87.53,3.92,3.89,3.9,1141,1159.04,0.04,0.04,0.05,0,23.62,0,0,0,15.46,0.06,0.04,0.82,452.94,0.83,0.83,18119.4,4.26,47744.12,0,95.89,8.08,91.92,91.29,,1,2002/10/22
(주)SNT홀딩스,036530,2022/12,12.06,2.11,2.06,15.03,-30.82,1.17,18.16,0,4437.38,4437.38,394.63,6.22,0.2,5193.86,93.83,6.36,99.8,0,89.85,4.47,4.42,4.43,1316,1298.81,0.05,0.05,0.05,0,23.48,0,0,0,15.55,0.06,0.04,0.81,659.6,0.83,0.83,20440.26,4.7,77849.35,0,96.53,7.42,92.58,93.08,,1,2002/10/22
(주)STX,011810,2018/12,-16.65,-14.15,39.15,-98.51,-3.94,-12.66,-14.88,-13.76,82.29,57.67,4.99,-14.35,618.11,126.15,239.36,66.67,13.93,0.76,0.38,-0.93,1.04,9.4,260,69506.09,2.75,24.88,8.33,13.82,12.51,15.48,23.58,26.41,29.17,0.03,0.09,1.82,45.78,4.11,5.84,28236,6.32,99.2,0,2.12,33.93,66.07,17.79,,1,1990/09/12
(주)STX,011810,2019/12,-6.92,3.58,-18.64,0,51.93,14.33,-1.8,0.61,77.55,53.77,5.08,-18.3,814.2,102.63,336.38,63.21,10.94,1,-3,-2.26,-8.17,-65.84,-1884,62750.65,2.72,21.94,7.76,13.85,11.7,17.26,21.14,26.36,31.2,0.03,0.12,1.86,34.52,4.19,6.02,-15090,-3.26,-34.89,0,-1.22,0,0,0,,1,1990/09/12
(주)STX,011810,2020/12,-36.31,-21.58,-48.92,0,14.82,21.11,-46.44,-52.33,49.62,36.08,3.28,-43.84,1303.36,52.43,797.49,43.17,7.13,1.76,-2.1,-1.14,-4.02,-43.36,-841,39968.87,1.91,20.62,4.19,11.91,9.1,10.37,35.19,30.65,40.1,0.03,0.09,1.38,16.97,3.51,4.98,4621,1.27,9.41,0,0.59,175.46,-75.46,-358.75,,1,1990/09/12
(주)STX,011810,2021/12,-17.84,7.25,132.36,0,5.2,5.76,9.22,-7.43,56.55,43.47,1.31,-33.78,547.76,83.96,362.98,43.96,15.44,4.06,-2.49,2.32,-4.29,-37.55,-733,26456.43,1.72,15.08,3.05,15.74,9.15,8.44,43.27,23.19,39.9,0.05,0.06,1.37,12.72,3.95,5.28,3797,0.98,8.76,0,0.59,194.73,-94.73,-424.97,,1,1990/09/12
(주)STX,011810,2022/12,35.8,-3.14,-29.06,0,-23.48,-12.24,8.46,-30.36,58.41,49.74,1.56,-35.05,784.41,59.57,449.02,49.23,11.31,3.07,-1.7,0.81,-3.91,-29.15,-541,30736.7,2.3,17.13,4.3,26.22,11.28,13.14,27.79,13.92,32.37,0.05,0.04,1.8,19.08,4.93,6.08,8830,2.34,22.36,0,1,93.52,6.48,-169.52,,1,1990/09/12
(주)TCC스틸,002710,2018/12,5.26,7.73,9.73,0,-5.13,-5.08,26.21,29.54,156.79,80.87,9.75,17.37,172.63,440.2,141.85,47.97,36.68,8.68,2.15,7.11,2.93,8.05,360,15723.48,1.36,3.74,2.45,6.37,8.35,14.82,24.63,57.33,43.73,0.01,0,1.52,7.92,3.05,5.85,44068.24,16.44,102.73,323.42,12.54,59.44,40.56,17.17,,1,1984/12/21
(주)TCC스틸,002710,2019/12,-3.41,0.79,-0.86,-73.61,9.09,6.36,-5.24,8.21,79.7,35.63,4.64,-11.48,177.19,436.39,152.19,45.1,36.08,7.96,0.59,5.35,0.74,2.04,94,15187.84,1.26,3.47,2.36,5.23,9.12,13.69,26.66,69.74,40.01,0.01,1.5,1.4,7.51,2.71,5.62,42215.18,15.62,94.62,269.35,12.44,63.85,36.15,4.73,,1,1984/12/21
(주)TCC스틸,002710,2020/12,-4.69,-3.35,0.77,0,-1.58,1.68,-9.47,-25.64,92.8,50.65,2.94,-3.28,165.86,427.17,153.56,42.24,37.61,5.23,-0.98,1.44,-1.2,-3.24,-143,14062.4,1.22,3.3,2.16,5.5,8.69,18.48,19.75,66.31,41.98,0.01,0,1.28,6.92,2.79,5.64,32229.5,12.34,69.56,230.63,9.96,80.37,19.63,-9.85,,1,1984/12/21
(주)TCC스틸,002710,2021/12,26.1,18.3,29.87,0,6.89,-4.58,49.57,36.41,141.17,82.69,24.88,15.58,142.17,542.95,112.83,53.41,41.29,9.79,7.1,8.47,10.15,25.64,1248,17354.74,1.43,3.61,2.77,6.88,8.02,20.99,17.39,53.02,45.52,0.01,0,1.6,8.5,2.96,5.2,77442.77,25.06,176.47,620.4,18.99,38.24,61.76,37.38,,1,1984/12/21
(주)TCC스틸,002710,2022/12,29.31,40.41,36.08,-19.89,138.92,49.64,32.35,53.39,98.38,51.15,4.93,-0.83,149.87,683.94,124.08,50.34,40.02,13.29,4.4,11.89,6.24,15.4,979,21227.46,1.42,3.5,2.93,6.09,7.81,16.92,21.57,59.95,46.71,0.01,0,1.46,6.28,2.75,5.02,73619.94,16.97,162.87,518.47,13.96,45.54,54.46,31.5,,1,1984/12/21
(주)강원랜드,035250,2018/12,-10.41,1.13,2.45,-31.98,3.64,22.37,-18.85,-12.01,275.44,275.26,7.46,26.35,17.93,3352.76,69.15,41.36,84.79,49.36,20.7,11.38,7.07,8.39,1467,6712.34,0.34,0.41,0.64,1175.54,199.93,414.87,0.88,0.31,1.83,0.8,0,0.55,1.13,0.74,0.74,846353.62,20.01,66.53,428.45,58.94,38.98,61.02,35.13,,1,2003/09/04
(주)강원랜드,035250,2019/12,5.68,4.89,3.68,12.88,4.21,3.55,6.79,217.54,287.22,286.66,9.09,27.45,19.31,3476.14,69.06,42.11,83.82,51.61,22.11,12.6,7.75,9.19,1655,7093.62,0.35,0.42,0.6,635.66,173.28,409.09,0.89,0.57,2.11,0.56,0,0.62,1.14,0.84,0.84,906619.21,20.44,68.81,483.62,59.74,31.99,68.01,37.02,,1,2003/09/04
(주)강원랜드,035250,2020/12,-68.54,-18.04,-12.74,0,-1.14,-16.29,-20.46,-40.62,452.28,451.62,19.63,31.84,12.06,3033.31,66.26,40.87,89.24,-14.01,-58.38,-10.01,-6.91,-8.01,-1375,2231.81,0.12,0.14,0.2,165,96.91,187.83,1.94,2.21,3.77,0.25,0.01,0.22,0.35,0.28,0.29,7259.47,0.2,0.56,3.99,1.52,4509.32,-4409.32,-3840,,1,2003/09/04
(주)강원랜드,035250,2021/12,64.9,5,0.14,0,-3.33,1.15,10.56,57.72,325.09,324.42,40.22,29.8,17.49,3037.56,66.93,43.04,85.11,7.7,-1.51,-1.07,-0.32,-0.37,-59,3680.36,0.21,0.24,0.36,283.36,291.35,405.93,0.9,1.29,1.25,0.61,0.01,0.4,0.6,0.5,0.5,437629.54,11.46,35.01,280.49,55.58,75.51,24.49,-2.72,,1,2003/09/04
(주)강원랜드,035250,2022/12,61.22,8.91,5,0,-3.56,36.3,-27.36,18.33,173.96,173.38,14.53,12.21,21.86,3189.47,86.88,28.71,82.06,27.47,9.13,6.16,2.91,3.48,572,5933.51,0.32,0.38,0.49,341.91,321.07,427.65,0.85,1.07,1.14,0.74,0,0.63,1,0.9,0.9,658638.25,15.84,54.52,508.82,51.89,53.81,46.19,17.6,,1,2003/09/04
(주)갤럭시아에스엠,011420,2018/12,-40.33,-31.91,-33.82,0,-27.82,-18.84,-43.9,0,222.68,222.68,120.97,23.66,24.41,194.54,70.98,42.95,80.38,-9.45,-71.17,-16,-38.1,-46.6,-569,799.66,0.54,0.65,1.04,0,4.09,9.44,38.65,0,89.25,0.02,0,0.81,73.41,1.11,1.11,-9601.87,-28.8,-3816.27,0,-43.58,0,0,0,,1,1989/11/14
(주)갤럭시아에스엠,011420,2019/12,30.42,-15.29,-18.65,0,103.49,-23.26,-4.7,0,216.18,216.18,120.35,25.97,29.56,158.25,66.96,48.31,77.19,6.25,-4.79,-2.05,-4.47,-5.66,-50,1042.94,0.93,1.18,1.71,0,8.19,18.86,19.35,0,44.54,0.04,0,1.41,75.26,2.06,2.06,3287.96,11.64,642.2,0,11.44,142.77,-42.77,-41.83,,1,1989/11/14
(주)갤럭시아에스엠,011420,2020/12,-32,1.11,-4.95,0,442.17,-2.27,4.73,0,221.64,221.64,81.96,27.46,37.82,150.42,68.85,50.04,72.56,14.71,5.04,5.1,3.46,4.63,36,709.25,0.69,0.92,1.35,0,5.97,20.29,17.99,0,61.13,0.02,0,0.96,11.89,1.4,1.4,5356.27,18.76,192.96,0,27.41,76.98,23.02,18.37,,1,1989/11/14
(주)갤럭시아에스엠,011420,2021/12,47.9,43.24,59.51,274.19,23.79,72.54,13.98,0,222.91,162.1,54.87,21.96,23.75,239.93,74.47,39.82,80.81,27.25,12.74,10.14,10.6,13.69,134,1049,0.83,1.07,1.49,13.01,11.3,33.98,10.74,28.06,32.29,0.02,0,1.3,9.3,1.89,2.21,7291.3,17.83,212.2,0,25.23,58.43,41.57,50.49,,1,1989/11/14
(주)갤럭시아에스엠,011420,2022/12,4.13,41.47,0.86,25.3,-50.27,79.03,-15.29,51.9,57.09,29.16,3.12,-17.92,73.59,241.99,132.19,23.85,57.61,33.34,15.33,8.65,9.34,13.9,167,1092.35,0.61,0.91,0.88,5.38,7.37,26.78,13.63,67.87,49.55,0.01,0,0.98,11.7,2,3.19,7980.19,13.79,467.01,0,26.52,42.94,57.06,57.81,,1,1989/11/14
