회사명,거래소코드,회계년도,유동자산(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),선급금(IFRS연결)(천원)
(주)DB하이텍,000990,2018/03,384738630,1026550749,473495476,138444869,553055273,2096938,173777537,101299651,41750324,0
(주)DB하이텍,000990,2019/03,391293536,1084951289,559809990,159579695,525141298,16123092,181003279,111796970,48787554,0
(주)DB하이텍,000990,2020/03,475541647,1147544132,684896720,225803046,462647412,55064822,237537339,133623375,54081696,0
(주)DB하이텍,000990,2021/03,491797001,1196237772,828473158,243736209,367764614,47810549,252740606,152430236,51074096,0
(주)DB하이텍,000990,2022/03,928694599,1685682344,1245226271,395024843,440456073,158684675,338762029,178195856,73681776,0
(주)ES큐브,050120,2018/03,58119754,123191044,79975819,10410639,43215225,5141921,13729664,8027096,8857830,1103412
(주)ES큐브,050120,2019/03,41246100,110758510,70350764,9374357,40407746,-951193,36406328,7162967,7674674,789431
(주)ES큐브,050120,2020/03,371845951,515601318,71702619,19847795,443898699,-2463058,59003180,15251428,5395341,744571
(주)ES큐브,050120,2021/03,504269150,933852147,77517218,28184332,856334929,7726259,453181506,17122046,11750391,644121
(주)ES큐브,050120,2022/03,28863747,110139223,98423526,21404770,11715697,1342744,8786826,19650052,17256725,183540
(주)HJ중공업,097230,2018/03,1889072000,4176030000,550876000,503257000,3625154000,-361000,3222196000,443202000,641228000,259290000
(주)HJ중공업,097230,2019/03,1235332000,2323642000,250895000,316974000,2072747000,229853000,1176160000,283377000,498297000,220685000
(주)HJ중공업,097230,2020/03,1221303000,2369766000,239574000,335338000,2130192000,-5791000,1746739000,299600000,307468000,309165000
(주)HJ중공업,097230,2021/03,1013287000,2181927000,279335000,274483000,1902592000,-40613000,1058744000,278360000,168575000,265720000
(주)HJ중공업,097230,2022/03,934919000,2371941000,422052000,347994000,1949889000,-9031000,934823000,324101000,149202000,197216000
(주)MH에탄올,023150,2018/03,78751620,494242220,99890386,15475991,394351834,-4542448,190279242,12791596,6097189,421685
(주)MH에탄올,023150,2019/03,29815041,438139530,87104476,17287729,351035054,-2139762,266001547,13027000,8542271,117452
(주)MH에탄올,023150,2020/03,26508147,442299111,69288614,19766181,373010497,-7671474,137156723,15374034,5653641,168725
(주)MH에탄올,023150,2021/03,30907088,439594466,78765087,22126812,360829378,617577,273328043,13476726,7685094,747126
(주)MH에탄올,023150,2022/03,40053500,438590125,83819415,23811941,354770710,1394060,181490816,15155879,8772266,188869
(주)SH에너지화학,002360,2018/03,90549345,127768234,105166573,42034781,22601661,1467837,13049397,37707076,25780986,0
(주)SH에너지화학,002360,2019/03,86893394,123419956,102761847,36209479,20658109,-38229,9954180,33778468,22055039,0
(주)SH에너지화학,002360,2020/03,79308723,121411219,97058991,25039794,24352227,-2082894,6636774,25309547,11211509,0
(주)SH에너지화학,002360,2021/03,74688429,117889657,90343416,28825558,27546241,180733,7293777,26234719,8896369,0
(주)SH에너지화학,002360,2022/03,81180482,122300280,92558601,43099001,29741679,1810785,17006714,39777748,12620496,0
(주)SNT홀딩스,036530,2018/03,1177928833,2128259629,1504571843,310998455,623687786,5587385,448314903,274835029,235992064,43425339
(주)SNT홀딩스,036530,2019/03,1190036841,2140855992,1505393063,321027721,635462929,22678123,402287865,283149029,245175862,49090857
(주)SNT홀딩스,036530,2020/03,1207592156,2223976800,1623372367,334960289,600604433,42254419,400470497,286291191,253314799,20618607
(주)SNT홀딩스,036530,2021/03,1363457112,2403681897,1698782155,373515517,704899741,93161936,512530277,314670463,227852835,11043726
(주)SNT홀딩스,036530,2022/03,1313374240,2385127959,1782646092,327594066,602481867,29831615,433927717,279560565,258001649,25390370
(주)STX,011810,2018/03,351579000,495879000,46247000,371826000,449632000,4321000,421149000,365377000,154613000,21027000
(주)STX,011810,2019/03,442450000,592793000,59847000,366417000,532946000,-14350000,504323000,354147000,122338000,31398000
(주)STX,011810,2020/03,369468000,559686000,57028000,305122000,502658000,366000,436017000,293948000,101079000,32484000
(주)STX,011810,2021/03,323528000,621581000,77150000,201252000,544431000,-3539000,469324000,194117000,102081000,20103000
(주)STX,011810,2022/03,398947000,699846000,123449000,295380000,576397000,1063000,465457000,275804000,93967000,19157000
(주)TCC스틸,002710,2018/03,135248356,293436693,102732759,93227796,190703934,1570678,172501123,84470571,53818196,260
(주)TCC스틸,002710,2019/03,156730883,312671891,112046190,105715820,200625701,2219598,97172787,97230506,70296447,20542
(주)TCC스틸,002710,2020/03,161346068,325372339,114133356,112529337,211238982,-2864310,183498119,109054158,72879555,8171
(주)TCC스틸,002710,2021/03,142920390,314681796,124984343,116809168,189697453,1039205,137368979,109876535,51588972,1684091
(주)TCC스틸,002710,2022/03,229260611,401294774,157907382,136722701,243387392,4551135,167861460,120413182,94309319,371694
(주)가비아,079940,2018/03,70438240,137259840,101226158,30237559,36033682,3000682,31018985,15995785,2249769,1589698
(주)가비아,079940,2019/03,77782588,179906654,117072959,32832371,62833695,4384264,44711351,17227751,2632665,2441753
(주)가비아,079940,2020/03,91346446,211091192,136687207,39068686,74403985,4249207,45611195,20263749,2469943,1130094
(주)가비아,079940,2021/03,127994883,261560378,176673057,43177466,84887321,5704812,49587366,22357001,4393586,5270726
(주)가비아,079940,2022/03,164184787,309695345,210791087,55175877,98904258,8567945,60523747,29347371,9923472,1767186
(주)강스템바이오텍,217730,2018/03,23692079,48138287,26254421,1157154,21883866,933796,6597182,571476,2665109,205467
(주)강스템바이오텍,217730,2019/03,48853655,76126353,42751853,865936,33374500,-4837653,27147212,1063513,2183143,1659954
(주)강스템바이오텍,217730,2020/03,37161935,94336056,61340753,1336653,32995303,-7611842,8989564,1725079,297987,1387817
(주)강스템바이오텍,217730,2021/03,37791132,76300659,43393069,1299647,32907590,-5416392,11381740,1307442,342095,1302423
(주)강스템바이오텍,217730,2022/03,59089331,95927350,61049931,3508816,34877419,-5205122,20623525,2141390,796978,879596
(주)강원랜드,035250,2018/03,1900819976,4301841320,3395320677,378410497,906520643,90446318,903504577,171834964,882191,17457888
