회사명,거래소코드,회계년도,유동자산(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),선급금(IFRS연결)(천원)
(주)DB하이텍,000990,2018/06,402756764,1050989250,509141208,312506014,541848042,36293232,175242521,215852196,39644534,0
(주)DB하이텍,000990,2019/06,450373903,1134840118,591176642,373064769,543663476,47494853,168967344,243349663,49855302,0
(주)DB하이텍,000990,2020/06,400515703,1119078521,735074647,467454113,384003875,105417424,259077360,270259660,54794241,0
(주)DB하이텍,000990,2021/06,541558948,1248900678,887686762,518386729,361213916,106853522,246156755,312929619,51813170,0
(주)DB하이텍,000990,2022/06,1065759519,1838280175,1406652473,830766626,431627702,319629046,335845627,364031554,73552221,0
(주)ES큐브,050120,2018/06,55007986,119526188,75959074,22195925,43567114,1517230,14245309,17303834,7013107,831768
(주)ES큐브,050120,2019/06,41485395,111882389,72838447,20151100,39043942,-384139,35363280,15448549,6671989,600346
(주)ES큐브,050120,2020/06,515006263,663807981,53553404,38791795,610254577,-22314794,436912533,29927020,5760436,658223
(주)ES큐브,050120,2021/06,228636728,834168235,78472251,59794741,755695984,8702464,605585083,44073882,11962197,632004
(주)ES큐브,050120,2022/06,33914693,117477744,106411929,43754351,11065815,8863530,8168708,34404509,15262134,155827
(주)HJ중공업,097230,2018/06,1643096000,3965560000,553230000,977512000,3412330000,-33649000,2995222000,901445000,628186000,234315000
(주)HJ중공업,097230,2019/06,1219669000,2311336000,233640000,690651000,2077696000,214037000,1192990000,630948000,477058000,212975000
(주)HJ중공업,097230,2020/06,1149047000,2288861000,309493000,825715000,1979368000,64308000,1682733000,772402000,204128000,294151000
(주)HJ중공업,097230,2021/06,995158000,2139346000,256363000,715460000,1882983000,-62634000,1034843000,694858000,166708000,229273000
(주)HJ중공업,097230,2022/06,905536000,2405434000,407479000,793451000,1997955000,-23187000,892571000,746237000,181122000,195378000
(주)MH에탄올,023150,2018/06,83259531,501905454,97738308,34679226,404167146,-6620775,208027530,26508013,5969694,438985
(주)MH에탄올,023150,2019/06,31571214,459501179,87957497,39743493,371543682,-1457447,266130963,27570199,7596875,246606
(주)MH에탄올,023150,2020/06,33956573,448896624,76547470,46514108,372349155,-549518,140465232,32265537,5983891,182379
(주)MH에탄올,023150,2021/06,40389085,447789180,84655204,50126818,363133976,6507693,277438734,27952240,9871329,170895
(주)MH에탄올,023150,2022/06,51878139,449387755,90915048,55322389,358472707,8488600,183553360,32492305,10416828,162046
(주)SH에너지화학,002360,2018/06,88145148,125034525,106883791,95169696,18150734,3084972,8327563,86699733,21356906,0
(주)SH에너지화학,002360,2019/06,82800748,122706452,102069717,73513854,20636735,-908696,9952884,69992242,14779091,0
(주)SH에너지화학,002360,2020/06,72996311,117229333,91748847,44437792,25480486,-5881730,7481109,46344653,8900421,0
(주)SH에너지화학,002360,2021/06,75389103,118222996,89842905,59602020,28380091,-304904,8033306,55539190,10486963,0
(주)SH에너지화학,002360,2022/06,77286413,121119166,92158411,84521030,28960755,1062676,16728260,80125512,13751914,0
(주)SNT홀딩스,036530,2018/06,1147754538,2096851815,1499866154,657313972,596985661,35530906,421469556,574550143,235357316,44406971
(주)SNT홀딩스,036530,2019/06,1254380673,2200460922,1548344235,724113774,652116688,69621563,428780381,620577566,273136223,36082081
(주)SNT홀딩스,036530,2020/06,1301069685,2267521207,1634201931,653536443,633319275,56429488,434697104,558834038,260704619,19722772
(주)SNT홀딩스,036530,2021/06,1369949756,2398003898,1733169975,714343075,664833923,110568827,477645795,605382382,241981631,11702436
(주)SNT홀딩스,036530,2022/06,1369072495,2433240754,1793218268,668284280,640022486,63626648,473717393,569016243,305362845,21458310
(주)STX,011810,2018/06,363793000,500208000,49337000,738829000,450871000,7861000,422727000,715822000,158432000,14036000
(주)STX,011810,2019/06,409172000,579084000,72389000,750785000,506695000,-16958000,468252000,725434000,124181000,36951000
(주)STX,011810,2020/06,334355000,532469000,52398000,609565000,480071000,286000,416517000,583707000,74341000,28481000
(주)STX,011810,2021/06,328516000,612927000,72824000,396692000,540103000,-10721000,447353000,377581000,91168000,21696000
(주)STX,011810,2022/06,450941000,745049000,135192000,591257000,609857000,11217000,499678000,558676000,92659000,26037000
(주)TCC스틸,002710,2018/06,139384466,290721175,104387807,197720926,186333368,2902833,164458302,183159901,59087574,17880
(주)TCC스틸,002710,2019/06,155502807,312888244,113714244,218303204,199174000,3365684,95559405,200254713,67929899,620
(주)TCC스틸,002710,2020/06,153439734,317008207,114892318,217937651,202115888,-1330786,178027577,207736813,71265895,100095
(주)TCC스틸,002710,2021/06,164799624,341138129,133407370,242293967,207730760,6940358,153815252,223530421,65973337,443933
(주)TCC스틸,002710,2022/06,260323215,454476239,166184792,329134244,288291448,10419537,210813635,289147329,113337763,503052
(주)가비아,079940,2018/06,75025357,143085064,105709996,61738579,37375068,7486579,31001043,32305514,2602964,1538664
(주)가비아,079940,2019/06,78424207,180277425,121916742,66453214,58360684,8048771,40382117,34776986,3160641,2594138
(주)가비아,079940,2020/06,117500186,238310737,160004573,81238730,78306165,11428681,49809761,40956035,2992000,1085948
(주)가비아,079940,2021/06,133223018,265897461,183605466,92120889,82291995,10834832,47076891,47741535,5301105,5967969
(주)가비아,079940,2022/06,167180771,317797077,218936227,115652141,98860850,17356888,62489628,60270626,9054670,1653467
(주)강스템바이오텍,217730,2018/06,21160548,43269314,21731221,3040873,21538093,-5283650,7253932,3364400,1593755,256694
(주)강스템바이오텍,217730,2019/06,45949571,77057777,36609773,2447164,40448004,-11054703,22580475,3018242,1435223,684760
(주)강스템바이오텍,217730,2020/06,35853542,90510902,58360121,4468881,32150781,-10628537,8654054,4189727,340469,1126870
(주)강스템바이오텍,217730,2021/06,38409197,75769383,39377075,3907976,36392307,-9726223,18486567,3466153,473798,1378474
(주)강스템바이오텍,217730,2022/06,54872312,91248246,56808616,7451094,34439631,-9941073,20436085,5033630,674972,1086317
(주)강원랜드,035250,2018/06,1987771592,4075684094,3493098683,717112444,582585411,185001516,580506035,333535294,1015572,16980478
(주)강원랜드,035250,2019/06,2015180682,4186356172,3566089034,741710529,620267138,153387891,609407307,316190429,1258106,13804627
(주)강원랜드,035250,2020/06,1382669328,3917774981,3327746766,270639302,590028215,-201676701,490598293,276322716,3369342,6699220
(주)강원랜드,035250,2021/06,1667937109,3660718858,3226357326,301049327,434361532,-19992153,354660890,306717389,2506225,3247221
(주)강원랜드,035250,2022/06,1818008767,3812595283,3283325148,538371046,529270134,31701508,460279563,401841711,3655488,3019684
(주)경농,002100,2018/06,230304639,404726653,212669262,166041245,192057391,23974769,171059325,103780398,81022529,1351681
(주)경농,002100,2019/06,249385254,438285845,216641180,173087883,221644665,18817006,164450817,110695512,88560648,711319
(주)경농,002100,2020/06,239612961,424311426,219663191,185440251,204648236,22739645,156053774,120538325,83767250,256037
(주)경농,002100,2021/06,262022123,442779578,230221562,194554719,212558016,22427265,186352246,129559939,84515568,445873
(주)경농,002100,2022/06,291729632,475577013,264393448,257242978,211183564,35553754,169823287,173212940,83112503,1365642
(주)경동나비엔,009450,2018/06,310190033,602415768,272806307,315946578,329609461,13502166,299008400,206920337,176385627,0
(주)경동나비엔,009450,2019/06,302459185,606061024,287499703,325053704,318561321,10293542,286916934,213371765,162193422,0
(주)경동나비엔,009450,2020/06,326384193,692116516,318763037,351981339,373353479,21628448,319609637,215591118,192423709,0
(주)경동나비엔,009450,2021/06,435995720,818097443,404073885,478734374,414023558,58871374,366625781,302552742,214315257,0
(주)경동나비엔,009450,2022/06,570098824,1039215074,493236052,542415273,545979021,41278601,433408001,326135971,360611381,6471583
(주)파워넷,037030,2018/06,57423963,70837197,45584938,56712994,25252260,2178920,23634872,48496343,12694230,184280
(주)파워넷,037030,2019/06,48676356,102791879,49304281,62156959,53487599,1633613,38736872,52569861,13843671,1163764
(주)파워넷,037030,2020/06,51325113,111622031,60926148,61516110,50695884,975660,42524605,51419658,15737262,278545
(주)파워넷,037030,2021/06,97108633,157580914,75742929,98794203,81837985,282270,46175932,85273508,31865358,3696489
(주)파워넷,037030,2022/06,107234852,171680330,84415169,114489970,87265161,-814448,74519843,103928811,39299618,197834
(주)헥토이노베이션,214180,2018/06,117047777,211595330,145940568,50404701,65654762,9156120,49425283,0,0,498746
(주)헥토이노베이션,214180,2019/06,150948727,253336537,163008167,59879002,90328370,12502955,76876272,0,0,917824
(주)헥토이노베이션,214180,2020/06,230766352,338302603,213704139,77190320,124598464,12441073,112687583,0,6347360,460608
(주)헥토이노베이션,214180,2021/06,257743295,385463672,248325563,102567011,137138108,11464794,118975555,0,11231996,1113806
(주)헥토이노베이션,214180,2022/06,329952490,474939192,270717303,127432402,204221889,11729175,173751503,0,13797887,11627169
(주)헬릭스미스,084990,2018/06,90612838,176122357,161328798,1531958,14793559,-4285154,1135857,203972,573562,443572
(주)헬릭스미스,084990,2019/06,140298980,302461400,136348562,1419452,166112838,-4339441,27890513,891798,2600776,1692664
(주)헬릭스미스,084990,2020/06,212669760,369506311,151956714,2331667,217549597,-50530142,132162633,858524,3496832,684884
(주)헬릭스미스,084990,2021/06,252443617,373222974,251420255,819934,121802719,-25960515,118340739,459789,1623983,3337672
(주)헬릭스미스,084990,2022/06,149491214,264225536,203191288,1277951,61034247,-21310743,36276984,768517,987546,4440266
(주)현대공업,170030,2018/06,93518550,136281680,98125159,75749280,38156521,399083,34433748,72542938,9209074,7157648
(주)현대공업,170030,2019/06,107366056,149409504,100651658,86220995,48757846,3287064,44360366,79477489,8401142,6623092
(주)현대공업,170030,2020/06,104786017,149394969,104912395,92565449,44482574,3867980,41342038,84016262,7919556,8901761
(주)현대공업,170030,2021/06,116033916,169212603,118800854,121530823,50411749,6558664,47525601,108601839,8160601,12114761
(주)현대공업,170030,2022/06,120545686,186713949,129560004,132709697,57153944,4188513,55128969,121392428,8206064,3810262
(주)현대바이오랜드,052260,2018/06,67267809,183384570,142606803,50193648,40777767,7963037,17288461,30117518,29556256,1780364
