회사명,거래소코드,회계년도,상장폐지일,소속코드,상장일,매출액증가율(IFRS),자기자본증가율(IFRS),순이익증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),부채비율(IFRS),총자본순이익률(IFRS)
(주)강원랜드,035250,2020/12,,1,2003/09/04,-68.54,-12.74,0,-18.04,-58.38,12.06,-6.91
(주)강원랜드,035250,2021/12,,1,2003/09/04,64.9,0.14,0,5,-1.51,17.49,-0.32
(주)강원랜드,035250,2022/12,,1,2003/09/04,61.22,5,0,8.91,9.13,21.86,2.91
(주)갤럭시아에스엠,011420,2018/12,,1,1989/11/14,-40.33,-33.82,0,-31.91,-71.17,24.41,-38.1
(주)갤럭시아에스엠,011420,2019/12,,1,1989/11/14,30.42,-18.65,0,-15.29,-4.79,29.56,-4.47
(주)갤럭시아에스엠,011420,2020/12,,1,1989/11/14,-32,-4.95,0,1.11,5.04,37.82,3.46
(주)갤럭시아에스엠,011420,2021/12,,1,1989/11/14,47.9,59.51,274.19,43.24,12.74,23.75,10.6
(주)갤럭시아에스엠,011420,2022/12,,1,1989/11/14,4.13,0.86,25.3,41.47,15.33,73.59,9.34
(주)경농,002100,2018/12,,1,1977/06/30,2.12,2.25,-16.69,5.97,6.57,52.37,3.47
(주)경농,002100,2019/12,,1,1977/06/30,3.51,2.05,-26.54,4.27,4.67,55.69,2.43
(주)경농,002100,2020/12,,1,1977/06/30,9.46,3.34,48.11,0.64,6.31,51.62,3.51
(주)경농,002100,2021/12,,1,1977/06/30,5.5,8.56,134,4.62,14,46.13,8
(주)경농,002100,2022/12,,1,1977/06/30,15.92,5.49,-23.6,9.32,9.23,51.44,5.71
(주)경동나비엔,009450,2018/12,,1,1993/08/31,8.47,8.25,40.06,12.55,3.69,83.28,5.49
(주)경동나비엔,009450,2019/12,,1,1993/08/31,6.04,5.91,-10.27,4.79,3.12,81.34,4.54
(주)경동나비엔,009450,2020/12,,1,1993/08/31,13.87,10.56,-7.75,16.01,2.53,90.27,3.79
(주)경동나비엔,009450,2021/12,,1,1993/08/31,27.44,28.24,229.72,24.65,6.55,84.94,10.35
(주)경동나비엔,009450,2022/12,,1,1993/08/31,2.99,12.81,-29.84,7.29,4.46,75.88,6.32
(주)경동도시가스,267290,2018/12,,1,2017/05/12,0,0,0,0,2.12,143.41,4.38
(주)경동도시가스,267290,2019/12,,1,2017/05/12,-11.45,5.94,-28.33,-3.66,1.71,121.34,3.2
(주)경동도시가스,267290,2020/12,,1,2017/05/12,-23.62,5.08,-22.75,-6.73,1.73,96.46,2.6
(주)경동도시가스,267290,2021/12,,1,2017/05/12,34.1,5.3,17.99,29.35,1.52,141.35,2.78
(주)경동도시가스,267290,2022/12,,1,2017/05/12,58.22,5.05,5.81,18.05,1.02,171.22,2.39
(주)경동인베스트,012320,2018/12,,1,1997/03/07,1118.23,0.2,-78.27,0.23,21.11,2.69,0.49
(주)경동인베스트,012320,2019/12,,1,1997/03/07,15.82,-0.68,0,-0.69,-10.62,2.68,-0.29
(주)경동인베스트,012320,2020/12,,1,1997/03/07,-10.88,-0.9,0,-3.03,17.01,0.47,0.42
