회사명,거래소코드,회계년도,매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),1주당순이익(IFRS연결)(원),1주당매출액(IFRS연결)(원),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자본분배율(IFRS연결),이윤분배율(IFRS연결),상장폐지일,소속코드,상장일
동양피스톤(주),092780,2022/12,12.21,3.21,9.91,-64.78,-4.13,-7.24,15.08,0.34,108.22,59.79,10.87,3.97,200.55,1847.7,143.67,52.2,33.27,10.23,0.72,2.18,0.78,2.25,198,30214.85,1.08,3.35,2.14,4.56,8.08,10.26,35.58,80.07,45.16,0.01,0.42,1.1,2.4,2.18,4.18,107508.77,28.73,69.74,124.56,27.02,74.07,25.93,2.68,,1,2017/12/08
동원산업(주),006040,2018/12,2.67,1.24,7.61,-58.58,-0.83,1.98,0.12,24.33,117.89,60.33,7.31,5.91,166.25,5798.18,162.61,38.92,37.56,14.82,2.9,7.09,2.76,7.35,20549,726870.28,0.95,2.6,1.56,5.5,8.34,13.24,27.57,66.35,43.79,0.01,1.67,1.31,3.18,2.42,4.33,460897.01,17.78,64.63,474.43,18.85,56.11,43.89,15.4,,1,1989/03/07
동원산업(주),006040,2019/12,9.74,15.19,6.65,-35.14,16.11,12.7,19.11,2.81,126.27,73.06,11.49,8.37,176.88,5654.87,165.45,40.25,36.12,15.22,1.92,7.14,1.84,4.45,12635,756181.02,0.96,2.61,1.59,5.37,9.47,16.57,22.03,67.97,38.53,0.01,0,1.34,3.24,2.43,4.43,562668.14,18.84,64.65,556.81,20.97,55.92,44.08,9.14,,1,1989/03/07
동원산업(주),006040,2020/12,6.51,4.02,20.29,436.86,-2.48,7.76,-1.53,-8.08,111.56,67.67,16.14,3.95,139.82,6802.17,148.46,38.1,41.7,17.29,8.53,10.22,8,21.01,70124,776946.77,0.94,2.41,1.54,5.88,10.3,17.73,20.59,62.08,35.43,0.01,0,1.3,3.25,2.4,4.04,797131.99,25.66,94.15,879.12,27.9,40.47,59.53,30.57,,1,1989/03/07
동원산업(주),006040,2021/12,-1.93,-1.74,14.89,-29.68,-4.62,-8.32,8.94,5.5,152.3,94.28,18.46,14.51,105.25,7814.96,118.55,42.24,48.72,16.2,6.12,8.63,5.57,12.59,49605,761960.96,0.91,2.01,1.52,5.86,9.7,17.01,21.46,62.31,37.64,0.01,0,1.28,3.31,2.27,3.7,703993.04,23.07,87.3,799,25.12,45.4,54.6,24.36,,1,1989/03/07
동원산업(주),006040,2022/12,222.11,131.37,75.4,10.21,166.84,107.93,163.42,201.07,126.57,71.46,20.16,10.1,142.78,5042.89,126.02,48.09,41.19,16.53,3.29,10.09,5.86,9.42,5748,2454360.93,1.79,4.11,3.33,9.16,15.19,22.5,16.22,39.83,24.04,0.02,0.54,2.2,5.94,3.85,6.65,1767884.8,25.04,86.81,352.77,19.59,56.22,43.78,16.77,,1,1989/03/07
동원수산(주),030720,2018/12,-12.17,-8.95,12.76,-67.97,-19.32,-9.94,-8.31,0.81,226.4,115.9,41.48,34.15,112.89,191.63,82.68,61.16,46.97,13.76,0.97,5.3,1.37,4.08,384,30673.85,1.42,3.38,3.63,5.01,19.82,19.72,18.51,72.89,18.42,0.01,0.2,1.55,6.02,2.33,4.35,12654.25,13.26,60.02,1197.61,8.91,57.01,42.99,10.84,,1,1996/11/22
동원수산(주),030720,2019/12,15.47,3.44,14.17,253.34,-15.33,-12.26,13.41,-6.96,241.47,144.79,75.13,39.29,93.99,218.79,63.9,67.06,51.55,16.86,3.54,16.08,5.99,12.71,1304,35236.85,1.69,3.43,4.72,5.97,22.77,26.97,13.53,61.18,16.03,0.02,0.57,1.85,8.42,2.63,4.72,30549.32,30.96,171.22,3834.23,18.63,55.78,44.22,19.03,,1,1996/11/22
동원수산(주),030720,2020/12,-11.35,-0.54,-5.72,0,-20,-6.05,2.17,12.98,193.19,107.65,51.6,33.23,103.81,206.28,63.42,68.88,49.07,8.17,-2.31,-1.67,-3.41,-6.53,-701,31236.96,1.48,2.94,4.61,5.15,17.91,21.82,16.73,70.84,20.38,0.01,0.8,1.48,9.05,2.17,3.76,20999.48,21.4,147.05,3540.3,14.45,94.6,5.4,-15.96,,1,1996/11/22
동원수산(주),030720,2021/12,-0.52,2.84,18.28,0,9.95,11.82,-1.21,9,206.98,105.87,36.39,34.2,77.03,243.99,59.89,66.17,56.49,13.58,5.08,6.74,7.38,14.25,1604,31075.45,1.45,2.75,4.47,4.62,15.51,20.87,17.49,78.95,23.53,0.01,0,1.43,9.65,2.15,4.03,32634.93,32.33,218.78,6413.63,22.57,67.77,32.23,22.52,,1,1996/11/22
