회사명,거래소코드,회계년도,매출액증가율(IFRS연결),총자본증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),유형자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),재고자산증가율(IFRS연결),유동비율(IFRS연결),당좌비율(IFRS연결),현금비율(IFRS연결),순운전자본비율(IFRS연결),부채비율(IFRS연결),자기자본배율(IFRS연결),비유동비율(IFRS연결),유동자산구성비율(IFRS연결),자기자본구성비율(IFRS연결),매출액총이익률(IFRS연결),매출액순이익률(IFRS연결),총자본사업이익률(IFRS연결),총자본순이익률(IFRS연결),자기자본순이익률(IFRS연결),1주당순이익(IFRS연결)(원),1주당매출액(IFRS연결)(원),총자본회전률(IFRS연결),자기자본회전률(IFRS연결),비유동자산회전률(IFRS연결),재고자산회전률(IFRS연결),매출채권회전률(IFRS연결),매입채무회전률(IFRS연결),매입채무회전기간(IFRS연결),재고자산회전기간(IFRS연결),매출채권회전기간(IFRS연결),1회전기간(IFRS연결),운전자본회전률(IFRS연결),순운전자본회전률(IFRS연결),유형자산회전율(IFRS연결),유동자산회전률(IFRS연결),당좌자산회전률(IFRS연결),부가가치(IFRS연결)(백만원),총자본투자효율(IFRS연결),설비투자효율(IFRS연결),기계투자효율(IFRS연결),부가가치율(IFRS연결),노동소득분배율(IFRS연결),자본분배율(IFRS연결),이윤분배율(IFRS연결),상장폐지일,소속코드,상장일
(주)가비아,079940,2018/12,10.76,13.54,12.64,54.56,8.04,9.09,18.07,18.31,262,255.35,101.66,31.87,32.62,927.98,64.26,51.54,75.4,48.92,11.92,13.23,10.77,12.58,576,9510.3,0.9,1.2,1.83,70.39,7.13,22.82,15.99,5.19,51.18,0.02,0.02,1.27,2.72,1.79,1.83,62241.08,41.1,137.57,2088.21,48.35,57.62,42.38,24.65,,5,2005/10/19
(주)가비아,079940,2019/12,15.21,32.01,16.59,43.49,73.82,54.04,11.3,33.36,201.58,195.45,66.71,21.9,48.13,1081.94,83.76,43.46,67.51,48.99,14.23,13.88,12.01,15.73,826,10956.73,0.84,1.19,1.59,64.12,7.19,35.27,10.35,5.69,50.8,0.02,0.03,1.25,2.21,1.8,1.85,133089.93,66.57,209.21,5613.2,89.74,54.48,45.52,15.86,,5,2005/10/19
(주)가비아,079940,2020/12,13.98,30.07,20.68,13.21,23.21,20.57,42.42,15.76,244.16,238.12,102.41,28.1,50.13,1305.68,78.69,47.59,66.61,49.2,14.05,12.84,10.33,14.99,935,12488.84,0.74,1.1,1.36,59.27,7.82,33.48,10.9,6.16,46.69,0.02,0.03,1.11,1.77,1.61,1.65,91699.15,35.27,87.57,4559.04,54.25,48.46,51.54,25.9,,5,2005/10/19
(주)가비아,079940,2021/12,18.57,16.51,13.47,-3.43,12.18,8.03,25.85,190.9,264.92,249.77,66.61,32,48.08,1481.59,71.96,51.4,67.53,49.16,12.47,11.89,8.88,12.4,898,14808.47,0.71,1.06,1.41,33.51,8.46,25.59,14.27,10.89,43.14,0.03,0.06,1.03,1.8,1.43,1.5,104194.52,34.39,90.68,4164.36,51.98,48.72,51.28,23.99,,5,2005/10/19
(주)가비아,079940,2022/12,19.31,21.58,21.06,84.9,16.25,10.99,31.59,-2.26,278.94,267.1,74.7,35.69,51.81,1793.64,67.35,55.63,65.87,48.57,17.39,12.56,12.39,19.51,1666,17668.4,0.71,1.07,1.54,27.17,7.78,19.43,18.78,13.43,46.94,0.02,0.06,0.97,1.87,1.33,1.39,124042.43,33.68,108.18,9304.35,51.87,46.25,53.75,33.53,,5,2005/10/19
(주)가온칩스,399720,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2022/05/20
(주)가온칩스,399720,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2022/05/20
(주)가온칩스,399720,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2022/05/20
(주)가온칩스,399720,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2022/05/20
(주)가온칩스,399720,2022/12,0,0,0,0,0,0,0,0,382.42,382.42,76.45,55.5,34.55,946.86,33.44,75.15,74.32,26.84,10.2,6.07,6.04,8.12,413,3770.83,0.59,0.8,2.38,0,6.36,23.39,15.6,0,57.43,0.02,0,0.62,4.03,0.79,0.79,18208.96,24.88,384.47,33965.61,42.03,67.04,32.96,24.27,,5,2022/05/20
(주)강스템바이오텍,217730,2018/12,0.36,55.08,94.25,0,14.44,10.24,94.06,11.21,244.28,234.71,16.06,39.53,53.83,458.01,50.86,66.94,65.01,12.84,-155.96,-19.1,-23.75,-37.79,-745,553.16,0.15,0.25,0.4,5.03,7.39,6.06,60.27,72.55,49.37,0.02,0.16,0.18,0.65,0.25,0.26,-3330.3,-4.55,-59.54,-477.09,-36.34,0,0,0,,5,2015/12/21
(주)강스템바이오텍,217730,2019/12,-34.49,55.26,48.29,0,106.2,140.63,13.09,-86.12,268.99,267.69,37.29,30.63,65.37,587.15,84.74,48.76,60.47,-7.07,-439.57,-24.33,-28.25,-41.61,-1182,288.14,0.06,0.1,0.15,5.5,5.06,5,73.07,66.41,72.07,0.02,0.18,0.08,0.26,0.12,0.12,-13446.01,-11.83,-255.84,-3152.95,-223.93,0,0,0,,5,2015/12/21
(주)강스템바이오텍,217730,2020/12,52.18,-27.4,-27.01,0,2.12,-35.17,-19.23,33.21,366.62,363.72,81.67,39.45,69.63,406.83,77.62,54.24,58.95,11.44,-216.09,-18.19,-20.13,-30.2,-828,377.5,0.09,0.16,0.19,29.42,18.4,18.24,20.02,12.41,19.83,0.08,0.03,0.14,0.29,0.18,0.18,-7688.03,-9.32,-24.11,-83.81,-84.13,0,0,0,,5,2015/12/21
(주)강스템바이오텍,217730,2021/12,35.75,25.02,31.87,0,-0.3,0.1,46.04,115.23,290.81,287.41,33.56,41.57,56.28,358.23,57.26,63.36,63.99,21.68,-175.96,-23.69,-23.51,-35.67,-767,488.02,0.13,0.22,0.33,22.18,13.16,20.08,18.18,16.46,27.74,0.04,0.07,0.17,0.39,0.23,0.23,-5521.86,-5.35,-17.4,-62.79,-44.51,0,0,0,,5,2015/12/21
(주)강스템바이오텍,217730,2022/12,31.41,-21.87,-27.48,0,-7.1,-8.22,-29.76,-38.84,232.93,230.56,23.75,32.51,70.53,259.8,73.39,56.96,58.64,29.89,-123.78,-21.05,-21.96,-34.46,-533,428.9,0.18,0.29,0.45,26.49,11.68,25.94,14.07,13.78,31.26,0.03,0.08,0.21,0.53,0.29,0.3,-3262.83,-4.05,-11.06,-41.59,-20.02,0,0,0,,5,2015/12/21
(주)강원에너지,114190,2018/12,4.72,0.71,4.7,0,-4.03,-7.26,3.66,50.46,161.8,160.55,45.27,28.72,86.93,628.4,46.39,75.18,53.5,6.86,1.99,0.79,1.83,4.19,130,5632.02,0.92,1.74,3.55,189.82,1.97,6.49,56.25,1.92,185.05,0.01,0.01,0.8,5.7,1.24,1.25,11600.03,12.36,125.77,1960.22,13.5,59.86,40.14,14.73,,5,2009/11/20
