회사명,거래소코드,회계년도,유동자산(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),선급금(IFRS연결)(천원)
(주)DB하이텍,000990,2018/09,403165595,1058459743,539933519,496246006,518526225,69235074,180760191,334496495,37686036,0
(주)DB하이텍,000990,2019/09,432510481,1117101815,635949857,595384761,481151958,92133525,204119700,377989080,56358458,0
(주)DB하이텍,000990,2020/09,451465693,1157431881,781591558,708100920,375840322,152459655,259244491,413172892,54522116,0
(주)DB하이텍,000990,2021/09,664453936,1362529709,980600047,846826587,381929662,199519557,277763854,487068414,59273431,0
(주)DB하이텍,000990,2022/09,1246087718,2055879101,1578200206,1278146850,477678895,490456777,384174580,548321898,69771688,0
(주)ES큐브,050120,2018/09,53264533,116327882,73184362,29303898,43143520,-565914,38151163,22748235,6914957,864377
(주)ES큐브,050120,2019/09,227113444,335576466,76316464,32030996,259260002,-2588861,72573439,25525302,4280720,770770
(주)ES큐브,050120,2020/09,433940834,572587349,80323785,60835228,492263564,-14911248,367217549,47703009,4859096,1173946
(주)ES큐브,050120,2021/09,275942539,958546302,81264569,92181936,877281733,10793392,670836857,70022654,11033837,635735
(주)ES큐브,050120,2022/09,41263131,122226829,110871900,66690684,11354929,12426596,8383424,48782927,15201849,140451
(주)HJ중공업,097230,2018/09,1698197000,3892673000,509012000,1460455000,3383661000,-73031000,2879222000,1359364000,622551000,201452000
(주)HJ중공업,097230,2019/09,1162076000,2200406000,204733000,1084470000,1995673000,185491000,1117896000,993952000,456082000,197753000
(주)HJ중공업,097230,2020/09,1027269000,2167359000,350076000,1296688000,1817283000,105051000,1515698000,1178735000,167562000,252071000
(주)HJ중공업,097230,2021/09,907062000,2054009000,260709000,1193169000,1793300000,-58306000,951959000,1144320000,184568000,164615000
(주)HJ중공업,097230,2022/09,919574000,2428235000,387224000,1191300000,2041011000,-43684000,1034810000,1117067000,210942000,186976000
(주)MH에탄올,023150,2018/09,35957171,454364772,90736545,51901659,363628227,-13489104,164205890,40248008,6321733,438985
