date,number
"Wednesday, Jul  5, 2006",42.60
"Thursday, Jul 13, 2006",36.30
"Friday, Jul 21, 2006",21.30
"Friday, Jul 28, 2006",5.40
"Monday, Aug  7, 2006",3.70
"Monday, Aug 14, 2006",7.90
"Wednesday, Aug 23, 2006",-0.30
"Wednesday, Aug 30, 2006",-6.00
"Thursday, Sep  7, 2006",-10.10
"Friday, Sep 15, 2006",-24.50
"Friday, Sep 22, 2006",-41.60
"Monday, Oct  2, 2006",-33.90
"Monday, Oct  9, 2006",-25.60
"Tuesday, Oct 17, 2006",-27.60
"Wednesday, Oct 25, 2006",-22.40
"Thursday, Nov  2, 2006",-23.00
"Friday, Nov 10, 2006",-21.10
"Monday, Nov 20, 2006",-22.40
"Monday, Nov 27, 2006",-11.70
"Tuesday, Dec  5, 2006",-8.20
"Wednesday, Dec 13, 2006",9.50
"Thursday, Dec 21, 2006",20.30
"Friday, Dec 29, 2006",26.70
"Friday, Jan  5, 2007",33.00
"Monday, Jan 15, 2007",42.10
"Monday, Jan 22, 2007",47.40
"Tuesday, Jan 30, 2007",46.70
"Wednesday, Feb  7, 2007",40.30
"Thursday, Feb 15, 2007",28.00
"Friday, Feb 23, 2007",27.00
"Friday, Mar  2, 2007",26.70
"Monday, Mar 12, 2007",14.80
"Monday, Mar 19, 2007",12.50
"Tuesday, Mar 27, 2007",15.60
"Wednesday, Apr  4, 2007",19.90
"Thursday, Apr 12, 2007",20.90
"Friday, Apr 20, 2007",24.80
"Friday, Apr 27, 2007",28.50
"Monday, May  7, 2007",47.70
"Monday, May 14, 2007",39.90
"Tuesday, May 22, 2007",38.40
"Wednesday, May 30, 2007",30.90
"Thursday, Jun  7, 2007",35.60
"Friday, Jun 15, 2007",36.00
"Friday, Jun 22, 2007",17.80
"Monday, Jul  2, 2007",8.20
"Monday, Jul  9, 2007",16.10
"Tuesday, Jul 17, 2007",13.10
"Wednesday, Jul 25, 2007",8.80
"Thursday, Aug  2, 2007",9.30
"Friday, Aug 10, 2007",11.50
"Friday, Aug 17, 2007",19.30
"Monday, Aug 27, 2007",17.50
"Monday, Sep  3, 2007",20.90
"Tuesday, Sep 11, 2007",8.60
"Wednesday, Sep 19, 2007",-2.70
"Thursday, Sep 27, 2007",-6.80
"Friday, Oct  5, 2007",-11.40
"Friday, Oct 12, 2007",-8.30
"Monday, Oct 22, 2007",-15.70
"Monday, Oct 29, 2007",-16.30
"Wednesday, Nov  7, 2007",-13.40
"Thursday, Nov 15, 2007",-21.30
"Friday, Nov 23, 2007",-30.40
"Friday, Nov 30, 2007",-20.10
"Monday, Dec 10, 2007",-3.90
"Monday, Dec 17, 2007",13.70
"Monday, Dec 24, 2007",10.10
"Wednesday, Jan  2, 2008",8.20
"Thursday, Jan 10, 2008",11.80
"Friday, Jan 18, 2008",2.90
"Friday, Jan 25, 2008",11.40
"Monday, Feb  4, 2008",-0.60
"Monday, Feb 11, 2008",-5.10
"Tuesday, Feb 19, 2008",-1.80
"Wednesday, Feb 27, 2008",-8.80
"Thursday, Mar  6, 2008",-18.00
"Friday, Mar 14, 2008",-10.60
"Thursday, Mar 20, 2008",-8.90
"Monday, Mar 31, 2008",-0.50
"Monday, Apr  7, 2008",-1.80
"Tuesday, Apr 15, 2008",-12.30
"Wednesday, Apr 23, 2008",-19.00
"Thursday, May  1, 2008",-34.10
"Friday, May  9, 2008",-23.50
"Friday, May 16, 2008",-15.30
"Tuesday, May 27, 2008",-11.50
"Monday, Jun  2, 2008",-14.90
"Tuesday, Jun 10, 2008",-23.60
"Wednesday, Jun 18, 2008",-22.30
"Thursday, Jun 26, 2008",-22.90
"Friday, Jul  4, 2008",-24.80
"Friday, Jul 11, 2008",-16.50
"Monday, Jul 21, 2008",-8.90
"Monday, Jul 28, 2008",-22.90
"Tuesday, Aug  5, 2008",-30.10
"Wednesday, Aug 13, 2008",-30.60
"Thursday, Aug 21, 2008",-18.50
"Friday, Aug 29, 2008",-12.50
"Friday, Sep  5, 2008",-16.20
"Monday, Sep 15, 2008",-23.80
"Monday, Sep 22, 2008",-9.70
"Tuesday, Sep 30, 2008",-21.90
"Wednesday, Oct  8, 2008",-20.60
"Thursday, Oct 16, 2008",-33.00
"Friday, Oct 24, 2008",-33.80
"Monday, Nov  3, 2008",-49.90
"Monday, Nov 10, 2008",-69.90
"Tuesday, Nov 18, 2008",-68.80
"Wednesday, Nov 26, 2008",-91.80
"Thursday, Dec  4, 2008",-89.60
"Friday, Dec 12, 2008",-101.30
"Friday, Dec 19, 2008",-106.50
"Monday, Dec 29, 2008",-95.60
"Monday, Jan  5, 2009",-102.90
"Tuesday, Jan 13, 2009",-81.30
"Wednesday, Jan 21, 2009",-85.70
"Thursday, Jan 29, 2009",-68.50
"Friday, Feb  6, 2009",-59.20
"Friday, Feb 13, 2009",-50.50
"Monday, Feb 23, 2009",-32.60
"Monday, Mar  2, 2009",-49.50
"Tuesday, Mar 10, 2009",-47.20
"Wednesday, Mar 18, 2009",-43.40
"Thursday, Mar 26, 2009",-31.50
"Friday, Apr  3, 2009",-38.40
"Thursday, Apr  9, 2009",-18.30
"Monday, Apr 20, 2009",-12.70
"Monday, Apr 27, 2009",-3.10
"Tuesday, May  5, 2009",6.20
"Wednesday, May 13, 2009",25.10
"Thursday, May 21, 2009",31.40
"Friday, May 29, 2009",51.10
"Friday, Jun  5, 2009",56.00
"Monday, Jun 15, 2009",48.10
"Monday, Jun 22, 2009",51.90
"Tuesday, Jun 30, 2009",50.50
"Wednesday, Jul  8, 2009",40.20
"Thursday, Jul 16, 2009",31.20
"Friday, Jul 24, 2009",27.60
"Friday, Jul 31, 2009",24.90
"Monday, Aug 10, 2009",33.80
"Monday, Aug 17, 2009",36.80
"Tuesday, Aug 25, 2009",43.40
"Wednesday, Sep  2, 2009",57.40
"Thursday, Sep 10, 2009",41.80
"Friday, Sep 18, 2009",45.40
"Friday, Sep 25, 2009",40.20
"Monday, Oct  5, 2009",30.10
"Monday, Oct 12, 2009",33.30
"Wednesday, Oct 21, 2009",31.10
"Thursday, Oct 29, 2009",23.70
"Friday, Nov  6, 2009",10.60
"Friday, Nov 13, 2009",-1.40
"Monday, Nov 23, 2009",-4.70
"Monday, Nov 30, 2009",2.80
"Tuesday, Dec  8, 2009",10.80
"Wednesday, Dec 16, 2009",7.50
"Thursday, Dec 24, 2009",2.20
"Thursday, Dec 31, 2009",7.10
"Friday, Jan  8, 2010",-0.40
"Monday, Jan 18, 2010",-5.30
"Monday, Jan 25, 2010",-3.70
"Tuesday, Feb  2, 2010",14.90
"Wednesday, Feb 10, 2010",17.10
"Thursday, Feb 18, 2010",15.20
"Friday, Feb 26, 2010",-0.80
"Friday, Mar  5, 2010",4.20
"Monday, Mar 15, 2010",11.10
"Monday, Mar 22, 2010",17.90
"Tuesday, Mar 30, 2010",23.30
"Wednesday, Apr  7, 2010",29.30
"Thursday, Apr 15, 2010",20.50
"Friday, Apr 23, 2010",35.40
"Friday, Apr 30, 2010",34.50
"Monday, May 10, 2010",44.40
"Monday, May 17, 2010",55.10
"Tuesday, May 25, 2010",53.60
"Wednesday, Jun  2, 2010",48.50
"Thursday, Jun 10, 2010",47.20
"Friday, Jun 18, 2010",26.80
"Friday, Jun 25, 2010",21.00
"Monday, Jul  5, 2010",22.20
"Monday, Jul 12, 2010",20.20
"Tuesday, Jul 20, 2010",0.90
"Wednesday, Jul 28, 2010",14.20
"Thursday, Aug  5, 2010",14.10
"Friday, Aug 13, 2010",9.10
"Friday, Aug 20, 2010",1.20
"Monday, Aug 30, 2010",5.30
"Monday, Sep  6, 2010",13.50
"Tuesday, Sep 14, 2010",17.50
"Wednesday, Sep 22, 2010",16.30
"Thursday, Sep 30, 2010",20.60
"Friday, Oct  8, 2010",24.00
"Monday, Oct 18, 2010",18.50
"Monday, Oct 25, 2010",18.40
"Tuesday, Nov  2, 2010",24.10
"Wednesday, Nov 10, 2010",25.10
"Thursday, Nov 18, 2010",29.80
"Friday, Nov 26, 2010",32.50
"Friday, Dec  3, 2010",23.00
"Monday, Dec 13, 2010",30.80
"Monday, Dec 20, 2010",41.40
"Tuesday, Dec 28, 2010",33.40
"Wednesday, Jan  5, 2011",36.70
"Thursday, Jan 13, 2011",42.60
"Friday, Jan 21, 2011",45.30
"Friday, Jan 28, 2011",34.90
"Monday, Feb  7, 2011",42.80
"Monday, Feb 14, 2011",37.50
"Tuesday, Feb 22, 2011",36.00
"Wednesday, Mar  2, 2011",33.30
"Thursday, Mar 10, 2011",31.20
"Friday, Mar 18, 2011",22.40
"Friday, Mar 25, 2011",22.00
"Monday, Apr  4, 2011",20.80
"Monday, Apr 11, 2011",19.20
"Tuesday, Apr 19, 2011",15.00
"Wednesday, Apr 27, 2011",14.40
"Thursday, May  5, 2011",-20.30
"Friday, May 13, 2011",-14.60
"Friday, May 20, 2011",-16.20
"Monday, May 30, 2011",-21.30
"Monday, Jun  6, 2011",-45.50
"Tuesday, Jun 14, 2011",-45.40
"Wednesday, Jun 22, 2011",-56.00
"Thursday, Jun 30, 2011",-52.50
"Friday, Jul  8, 2011",-47.20
"Friday, Jul 15, 2011",-48.70
"Monday, Jul 25, 2011",-44.40
"Monday, Aug  1, 2011",-45.20
"Tuesday, Aug  9, 2011",-39.20
"Wednesday, Aug 17, 2011",-53.00
"Thursday, Aug 25, 2011",-61.80
"Friday, Sep  2, 2011",-57.00
"Friday, Sep  9, 2011",-48.00
"Monday, Sep 19, 2011",-46.20
"Monday, Sep 26, 2011",-44.10
"Wednesday, Oct  5, 2011",-33.40
"Thursday, Oct 13, 2011",-16.50
"Friday, Oct 21, 2011",-4.80
"Friday, Oct 28, 2011",-3.50
"Monday, Nov  7, 2011",-8.30
"Monday, Nov 14, 2011",3.70
"Tuesday, Nov 22, 2011",11.00
"Wednesday, Nov 30, 2011",22.80
"Thursday, Dec  8, 2011",29.90
"Friday, Dec 16, 2011",32.00
"Friday, Dec 23, 2011",33.00
"Friday, Dec 30, 2011",25.00
"Monday, Jan  9, 2012",28.70
"Tuesday, Jan 17, 2012",34.60
"Wednesday, Jan 25, 2012",36.30
"Thursday, Feb  2, 2012",28.00
"Friday, Feb 10, 2012",37.80
"Friday, Feb 17, 2012",41.70
"Monday, Feb 27, 2012",35.80
"Monday, Mar  5, 2012",29.80
"Tuesday, Mar 13, 2012",24.90
"Wednesday, Mar 21, 2012",17.20
"Thursday, Mar 29, 2012",11.20
"Thursday, Apr  5, 2012",5.20
"Friday, Apr 13, 2012",5.70
"Monday, Apr 23, 2012",-3.40
"Monday, Apr 30, 2012",-15.10
"Tuesday, May  8, 2012",-27.80
"Wednesday, May 16, 2012",-21.90
"Thursday, May 24, 2012",-33.00
"Friday, Jun  1, 2012",-44.60
"Friday, Jun  8, 2012",-41.50
"Monday, Jun 18, 2012",-42.20
"Monday, Jun 25, 2012",-50.50
"Tuesday, Jul  3, 2012",-47.50
"Wednesday, Jul 11, 2012",-48.10
"Thursday, Jul 19, 2012",-48.10
"Friday, Jul 27, 2012",-42.80
"Friday, Aug  3, 2012",-38.70
"Monday, Aug 13, 2012",-37.40
"Monday, Aug 20, 2012",-30.70
"Tuesday, Aug 28, 2012",-24.40
"Wednesday, Sep  5, 2012",-24.20
