,PER,PBR,PCR,PSR,배당수익률(%),정상영업이익증가율,순이익증가율,매출액증가율,1주당순이익,부채비율,매출액정상영업이익률,종목코드
2019-06-01,,0.40838709677419366,22.199032258064516,0.26629032258064517,3.083709677419355,-0.7880524362,1.243038094,0.00428976932,4943.0,0.10536715519999999,-0.01285772343,023530
2019-09-01,,0.33396825396825386,18.12095238095238,0.21873015873015875,3.786031746031746,-0.0427551682,-1.3024247740000001,-0.011611735009999999,-4943.0,-0.00710942099,-0.00441814042,023530
2019-12-01,,0.31387096774193535,17.09274193548387,0.2062903225806452,3.9990322580645166,-0.7258448318,1.3024247740000001,-0.01488826499,-31705.0,0.117009421,-0.00458185958,023530
2020-03-01,,0.25709677419354837,13.217903225806454,0.16741935483870962,4.982741935483871,0.1973837137,-0.9557519132,-0.05500521520999999,,1.870776125,0.01279157289,023530
2020-06-01,,0.23131147540983613,4.024098360655738,0.13918032786885245,4.405573770491803,-1.016983714,-2.2673480870000002,-0.03269478479,-10988.0,0.02102387527,-0.00619157289,023530
2020-09-01,,0.210625,3.6762499999999996,0.1275,4.800625,78.87334024,-1.014981105,0.01484795844,10988.0,0.03685691083,0.00685894479,023530
2020-12-01,,0.2532786885245902,4.360327868852459,0.15278688524590164,4.019016393442624,-78.24494023999999,4.238081105,-0.00874795844,-27800.0,0.03194308917,0.007941055209999999,023530
2021-03-01,,0.32333333333333336,5.725166666666667,0.19500000000000003,3.0453333333333323,-0.6595775955000001,-0.909209154,-0.019176405940000002,,2.069811267,0.0159244297,023530
2021-06-01,,0.3479365079365078,6.994444444444445,0.2109523809523809,2.3188888888888886,0.9550775955,0.909209154,-0.02272359406,-3661.0,-0.1075112675,-0.0070244297,023530
2021-09-01,,0.3125806451612903,6.281935483870968,0.19016129032258058,2.5817741935483864,2.8206493239999997,-9.858432706999999,0.02667277884,3661.0,-0.14872916,-0.00056221069,023530
2021-12-01,,0.28158730158730166,5.636507936507935,0.17095238095238097,2.8922222222222227,-3.1161493239999998,9.858432706999999,0.01522722116,-10363.0,0.019929159999999998,0.00496221069,023530
2022-03-01,,0.25016949152542367,4.56406779661017,0.15322033898305087,3.2196610169491526,-0.37136280499999996,-1.137260143,-0.0035791030800000003,,1.8543669090000001,0.018222749,023530
2022-06-01,,0.27499999999999997,3.0077419354838715,0.17854838709677415,2.8527419354838717,1.4345628049999999,1.137260143,-0.01052089692,2474.0,-0.01346690907,0.000477251,023530
2022-09-01,,0.26761904761904753,2.932539682539682,0.17333333333333334,2.9298412698412704,1.0171376600000002,-3.0920294530000003,0.028550177649999998,-2474.0,0.043884195699999996,0.0063858512599999995,023530
2022-12-01,,0.24919354838709673,2.7101612903225805,0.16016129032258067,3.1633870967741946,-1.21993766,3.0920294530000003,-0.02075017765,-11772.0,-0.0117841957,-8.585126e-05,023530
2007-03-01,10.376774193548387,1.5240322580645163,9.069516129032257,2.6993548387096777,3.14483870967742,-0.8706852308999999,-1.099732412,-0.6397319291,,0.1898435915,0.117279937,026960
2007-06-01,11.155000000000003,1.639032258064516,9.749032258064517,2.901129032258065,2.9417741935483877,0.8706852308999999,1.099732412,0.6397319291,1399.0,-0.011443591500000001,-0.00177993698,026960
2007-09-01,13.165999999999999,1.9340000000000004,11.506833333333335,3.4249999999999994,2.481333333333333,-0.3380344634,-0.1874573549,-0.134258548,-1399.0,-0.0105672582,-0.00881339451,026960
2007-12-01,12.351129032258065,1.814193548387097,10.794999999999998,3.21225806451613,2.646612903225807,0.3380344634,0.1874573549,0.134258548,2603.0,0.0006672582000000001,0.013413394510000001,026960
2008-03-01,8.663114754098359,1.3467213114754097,7.869508196721312,2.5432786885245906,3.5995081967213114,-0.3943903366,0.33754697559999997,-0.2387047153,973.0,0.18280741679999998,0.1158880376,026960
2008-06-01,9.767999999999999,1.518,8.87283333333333,2.867666666666667,3.202166666666666,0.5356903366,-0.0694469756,0.4038047153,801.0,-0.01470741681,-0.0027880375499999997,026960
2008-09-01,10.51015625,1.6328125000000002,9.546249999999999,3.0854687500000004,2.96375,-0.1996849946,-0.2771243163,-0.00936501577,579.0,-0.00408686205,-0.00792957016,026960
2008-12-01,9.844285714285713,1.5296825396825398,8.942063492063491,2.88984126984127,3.1696825396825394,0.2539849946,0.1875243163,0.03006501577,715.0,-0.012313137949999999,0.01582957016,026960
2009-03-01,8.439180327868852,1.353770491803279,7.869836065573771,2.462786885245902,3.5252459016393445,-0.34471502260000003,0.2969131554,-0.2710511819,1041.0,0.1568458779,0.1376409499,026960
2009-06-01,9.21174603174603,1.4780952380952381,8.59,2.687301587301587,3.228888888888889,0.8086150226,-0.1380131554,0.4006511819,1015.0,-0.01984587787,0.00895905013,026960
2009-09-01,9.831212121212122,1.5768181818181817,9.167878787878788,2.868787878787878,3.0346969696969697,-0.2852453534,-0.1378707857,-0.08297744482000001,875.0,-0.016812178639999998,-0.00831568779,026960
2009-12-01,11.12,1.7833333333333334,10.369206349206351,3.2447619047619045,2.676031746031746,0.1343453534,0.17537078569999998,0.04097744482000001,739.0,0.006612178640000001,0.00781568779,026960
2010-03-01,8.862131147540984,1.4832786885245903,8.394754098360657,2.843934426229508,3.271311475409836,-0.3767620558,0.43979885750000003,-0.2263519343,1206.0,0.134342492,0.1313830187,026960
2010-06-01,9.26306451612903,1.5506451612903231,8.773387096774195,2.9732258064516124,3.1320967741935477,0.3793620558,-0.31869885750000004,0.33845193430000003,1099.0,0.00015750796000000002,0.00081698126,026960
2010-09-01,9.294444444444448,1.5553968253968258,8.804761904761904,2.9831746031746036,3.1215873015873012,-0.2440050362,-0.2526444659,-0.0975356323,822.0,-0.017406310339999998,-0.0066857783199999994,026960
2010-12-01,10.583692307692308,1.7718461538461538,10.026000000000002,3.3964615384615384,2.741230769230769,0.3139050362,0.2151444659,0.1346356323,850.0,0.01000631034,0.01088577832,026960
2011-03-01,8.634833333333335,1.4083333333333337,8.134833333333333,2.805166666666667,3.312333333333333,-0.35941028,0.6804127467000001,-0.22722040570000002,2070.0,0.1186829898,0.1219968195,026960
2011-06-01,8.70290322580645,1.4201612903225804,8.199032258064515,2.8266129032258065,3.285967741935483,0.51661028,-0.5813127467,0.45012040570000006,464.0,0.007717010250000001,0.0031031804800000003,026960
2011-09-01,8.476825396825395,1.3825396825396827,7.986349206349205,2.7525396825396826,3.3798412698412705,-0.41296232029999996,-0.3183347656,-0.1853799467,316.0,-0.030599292139999998,-0.009861556609999999,026960
2011-12-01,7.5574603174603165,1.233015873015873,7.12079365079365,2.4550793650793654,3.7817460317460316,0.2834623203,-0.00196523445,0.1143799467,462.0,0.03569929214,0.00326155661,026960
2012-03-01,10.091290322580644,1.1853225806451613,9.32741935483871,2.216290322580645,4.09758064516129,-0.3044849616,3.044230882,-0.24858560529999998,2214.0,0.1299345639,0.1161667276,026960
2012-06-01,9.808032786885246,1.1521311475409834,9.066557377049179,2.15344262295082,4.2134426229508195,0.2404849616,-3.0076308820000004,0.26758560530000003,413.0,-0.01413456394,-0.00126672757,026960
2012-09-01,9.6546875,1.13390625,8.924375,2.1190625,4.27703125,-0.2034326403,-0.147297002,-0.07523679523,351.0,-0.00313459587,-0.00540826755,026960
2012-12-01,10.683934426229511,1.2549180327868852,9.876393442622952,2.345573770491804,3.8732786885245902,0.24483264030000002,0.368897002,0.09353679523,-894.0,-0.00156540413,0.0022082675500000003,026960
2013-03-01,9.699508196721313,1.3044262295081963,9.160819672131149,2.5832786885245898,4.0381967213114764,-0.1198998192,0.03397646502,-0.18586591339999997,,0.1351675278,0.1259195967,026960
2013-06-01,12.93193548387097,1.7395161290322585,12.213870967741935,3.444193548387096,3.016129032258065,0.1198998192,-0.03397646502,0.18586591339999997,1241.0,-0.01086752776,-0.0005195967,026960
2013-09-01,13.550967741935482,1.8225806451612903,12.799677419354836,3.6099999999999994,2.864032258064516,-0.3272667628,-0.1290235219,-0.05765343546999999,-1241.0,-0.01498434491,-0.01171803492,026960
