회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),*주당순손익(IFRS)(원),부채(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),자본(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원)
(주)BNK금융지주,138930,2011/09,,,,,,
(주)BNK금융지주,138930,2012/09,,,,,,
(주)BNK금융지주,138930,2013/09,,,,,,
(주)BNK금융지주,138930,2014/09,,,,,,
(주)BNK금융지주,138930,2015/09,,,,,,
(주)BNK금융지주,138930,2016/09,,,,,,
(주)BNK금융지주,138930,2017/09,,,,,,
(주)BNK금융지주,138930,2018/09,,,,,,
(주)BNK금융지주,138930,2019/09,,,,,,
(주)BNK금융지주,138930,2020/09,,,,,,
(주)BNK금융지주,138930,2021/09,,,,,,
(주)BNK금융지주,138930,2022/09,,,,,,
(주)DB하이텍,000990,2007/09,-50197913,0,2489535436,1029466101,931402060,13420089
(주)DB하이텍,000990,2008/09,-5790583,-178,2406775695,1131601412,888102445,4383819
(주)DB하이텍,000990,2009/09,-169625793,-5164,2273573403,931423077,676093643,-73022713
(주)DB하이텍,000990,2010/09,-62148513,-1656,1356220792,782330828,579652923,-5996743
(주)DB하이텍,000990,2011/09,-53608855,-1389,998602498,419559738,332675442,-8793054
(주)DB하이텍,000990,2012/09,-10204285,-254,915374254,450104084,296382719,5143583
(주)DB하이텍,000990,2013/09,-36648656,-912,871822370,387271957,232828756,6367805
(주)DB하이텍,000990,2014/09,-41606780,-1035,866909052,410194666,156130542,23038470
(주)DB하이텍,000990,2015/09,123273002,3008,798079249,485083005,277494641,94438114
(주)DB하이텍,000990,2016/09,93583242,2164,629005654,572143698,371228495,130390727
(주)DB하이텍,000990,2017/09,70727346,1635,578015249,529044102,435177799,128893456
(주)DB하이텍,000990,2018/09,76910433,1773,517735568,496246006,523228596,87102142
(주)DB하이텍,000990,2019/09,95882878,2208,481068892,595384761,623614697,133338930
(주)DB하이텍,000990,2020/09,160732883,3701,374232514,708100920,791008017,208823708
(주)DB하이텍,000990,2021/09,194694817,4480,381821110,846826587,975853472,260858735
(주)DB하이텍,000990,2022/09,464580726,10690,475749387,1278146850,1550979040,614976185
(주)JB금융지주,175330,2013/09,,,,,,
(주)JB금융지주,175330,2014/09,,,,,,
(주)JB금융지주,175330,2015/09,,,,,,
(주)JB금융지주,175330,2016/09,,,,,,
(주)JB금융지주,175330,2017/09,,,,,,
(주)JB금융지주,175330,2018/09,,,,,,
(주)JB금융지주,175330,2019/09,,,,,,
(주)JB금융지주,175330,2020/09,,,,,,
(주)JB금융지주,175330,2021/09,,,,,,
(주)JB금융지주,175330,2022/09,,,,,,
(주)KB금융지주,105560,2008/09,,,,,,
(주)KB금융지주,105560,2009/09,,,,,,
(주)KB금융지주,105560,2010/09,,,,,,
(주)KB금융지주,105560,2011/09,,,,,,
(주)KB금융지주,105560,2012/09,,,,,,
(주)KB금융지주,105560,2013/09,,,,,,
(주)KB금융지주,105560,2014/09,,,,,,
(주)KB금융지주,105560,2015/09,,,,,,
(주)KB금융지주,105560,2016/09,,,,,,
(주)KB금융지주,105560,2017/09,,,,,,
(주)KB금융지주,105560,2018/09,,,,,,
(주)KB금융지주,105560,2019/09,,,,,,
(주)KB금융지주,105560,2020/09,,,,,,
(주)KB금융지주,105560,2021/09,,,,,,
(주)KB금융지주,105560,2022/09,,,,,,
(주)강원랜드,035250,2007/09,249331694,0,385735105,804045730,1529747951,319978220
(주)강원랜드,035250,2008/09,280651247,1332,394035898,881458009,1678398372,366567181
(주)강원랜드,035250,2009/09,321504604,1568,380025481,904193364,1820301902,394276291
(주)강원랜드,035250,2010/09,352057307,1724,361001169,1000509708,2028463858,467410943
(주)강원랜드,035250,2011/09,309296515,1520,342058131,955067498,2193933040,400554534
(주)강원랜드,035250,2012/09,266869444,1314,463982649,983382164,2354345779,341410307
(주)강원랜드,035250,2013/09,280525362,1384,412857863,1022022756,2506525999,353591015
(주)강원랜드,035250,2014/09,320619700,1581,497621383,1119739730,2698428459,402926201
(주)강원랜드,035250,2015/09,352126377,1737,599054850,1225684768,2903051348,482083836
(주)강원랜드,035250,2016/09,390629994,1927,568095268,1284962239,3196960854,504540022
(주)강원랜드,035250,2017/09,358154283,1767,629795319,1203775619,3411829245,439300633
(주)강원랜드,035250,2018/09,278580981,1374,605465510,1084908334,3586811773,368333808
(주)강원랜드,035250,2019/09,281724060,1390,475590800,1145208179,3691055912,438298649
(주)강원랜드,035250,2020/09,-244100182,-1204,452664048,346400413,3286585290,-355036421
(주)강원랜드,035250,2021/09,1449906,7,471564912,545543841,3245451149,-32556508
(주)강원랜드,035250,2022/09,104923262,518,604200438,934801165,3351896355,199071555
(주)녹십자,006280,2007/09,40786825,0,186534945,332762428,230369162,48916106
